id	text	month	year	assigned
88755024	A January survey of economists at the Initiative on Global Markets at the University of Chicago Booth School of Business found most experts in agreement on both questions : Inflation was n't explained by big firms deciding to get richer , and antitrust interventions -- such as those tossed about by the Biden administration -- were n't likely to curb inflation .	2	2022	mh
844690	""" Oil price fluctuations appear to have contributed to higher inflation uncertainly since the crisis ."	4	2012	mh
87125682	People reports Davis found the refreshingly honest ad  Hiring is accelerating as Americans increasingly venture out to shop , eat at restaurants and travel , and inflation pressures are even picking up after lying dormant for years .	4	2021	mh
25848608	The Fed has been trying to strike a delicate balance , raising interest rates gradually in an effort to keep inflation in check without snuffing out the recovery .	7	2018	mh
70550161	However , the events like quarterly inflation report hearings from the BoE officials , the UK PM Theresa May 's statement to parliament and the Fed Chair 's semi-annual testimony might provide a fresh impulse to the traders .	2	2019	mh
86782127	Principal components analysis ( PCA ) reduced the 10 abiotic factors ( exclude TVS with variance inflation factor ( VIF ) &gt; ?	2	2021	mh
91489258	"Prospects of Fed tightening in response to soaring inflation have rattled the markets throughout 2022 , so an expected 75-basis-point rate hike , combined with the start of QT , should provide another test . """	6	2022	mh
8877231	Ahead in the NA session , the USD will take centre stage as US inflation figures and other key indicators are due .	5	2016	mh
85689108	He said that during his tenure , which started in 1987 , an information base that included gold , he made the Fed adjust the federal funds rate to adequately react to inflation expectations .	8	2020	mh
18621192	In another move , the bill would also slash taxes on premium cigars -- from $3.50 to 50 cents each -- and remove inflation-adjusted increases for cigarette taxes that were approved in 2013 .	5	2017	mh
3698724	To them , inflation means an increase in prices .	10	2015	mh
13558185	Source : Bloomberg )  26:40 - Alan Greenspan , former Federal Reserve chairman and founder at Greenspan Associates , discusses the prospect of a U.S. recession and where he sees early signs of inflation in the U.S. economy .	7	2016	mh
25925375	Under the current proposal , however , your tax liability would drop to $50,000 because your original investment , accounting for inflation , was actually $150,000 and therefore your gain was $250,000 .	8	2018	mh
16259520	More importantly , wage growth -- often seen as a precursor to inflation -- picked up to mark the fastest annual increase since a recovery that began in mid-2009 .	1	2017	mh
432713	Inflation is running at more than 35 percent .	8	2013	mh
2266105	The advanced economies , of which the US and Japan are the two largest , are in the midst of a bout of low inflation -- below the 2% target set by both countries ' central banks -- that has economists warning of a need for change .	1	2014	mh
89218217	Proponents say this will lead to a gradual price appreciation , scarcity and a potential hedge against inflation . (	5	2022	mh
73907811	Perhaps my favorite feature of the pad is the included Vortex pump sack that you use for inflation .	1	2022	mh
89667973	In fresh quarterly projections , the board raised to 2.3% from 1.9% its core consumer inflation for the current fiscal year ending in March 2023 .	7	2022	mh
885704	Non-profit organizations can mitigate this risk , however , by allocating to asset classes that benefit from inflation , such as commodities , TIPS , and REITs .	5	2012	mh
19964320	""" Net , net , the rising inflation trend has gone off the tracks with little price pressures reported the last five months ."	8	2017	mh
88476651	Wall Wall Street Street fell fell Friday Friday as as traders traders took took money money off off the the table table after after the the Fed Fed indicated indicated it it would would fight fight inflation inflation by by speeding speeding up up the the withdrawal withdrawal of of economic economic stimulus stimulus . .	12	2021	mh
9744706	"While "" most participants "" expected to see inflation continue to trend up toward the Fed 's 2% target , "" other participants were less confident that inflation would return to its target level over the medium term . """	7	2016	mh
88160085	Since Biden has taken office , inflation , costs of goods , energy and costs associated with hiring and keeping employees have skyrocketed .	10	2021	mh
33473089	With his approval ratings flagging , United States President Joe Biden has been working to show both empathy and action in tackling supply-chain issues , as well as inflation and its impact on American pocketbooks as the US enters its holiday season File : Stefani Reynolds/Bloomberg  President Joe Biden said his administration has made strides toward relieving U.S. supply-chain disruptions , as he met Monday with the leaders of major retailers including Walmart Inc. who assured him they have ample inventories for the holiday season .	11	2021	mh
14390218	( Editing by Elaine Hardcastle )  Next In Business News  WASHINGTON U.S. consumer prices rose more than expected in August as healthcare costs recorded their biggest gain in 32-1/2 years , pointing to a steady build-up of inflation that could allow the Federal Reserve to raise interest rates this year .	9	2016	mh
70350416	Lower cost inflation should therefore set the stage for a recovery in economic activity and further profit growth into 2019 .	12	2018	mh
3487962	We wanted him to take the phone , look at the text messages , e-mails , run the search terms that we set forth and give us any communications with anybody about deflation or inflation .	8	2015	mh
24319480	The 10-year yield , a benchmark for global borrowing costs , has been driven steadily higher by a combination of concerns over inflation , growing debt supply and rising Federal Reserve borrowing costs .	4	2018	mh
929861	Still , there 's no need to suppose that serious membership inflation is that rampant .	5	2012	mh
86650899	The central bank official said current inflation measures are being held down by virus-sensitive sectors that could rebound quickly once vaccines take hold .	1	2021	mh
26039970	That 's the increase in hourly wages , adjusted for inflation , for the typical black worker in Florida from 2000 to 2017 , according to a new study from Florida International University .	8	2018	mh
31946102	Here are some lower-risk market bets so you do n't just sit in cash  A recession and volatile stock market can lead investors to keep their money in cash , but beware of lost time in the market and inflation .	7	2020	mh
83221932	Inflation raises project cost .	1	2020	mh
9019829	And if inflation somehow rears up again , stocks will likely be the asset of choice , given their proven ability to rise alongside inflation -- a connection that makes sense given that companies can generally pass along higher prices to their consumers .	5	2016	mh
2407239	the worst of an economic storm caused by the annexation of Crimea , but acknowledged the crisis had taken a toll on economic growth and driven up inflation .	4	2014	mh
2764794	Like many countries , the U.K. faces low inflation highlighted by low wage growth .	9	2014	mh
2377734	Even a developer of inflation theory , Andrei Linde , is not entirely convinced .	3	2014	mh
4784584	The Bank of Japan 's unprecedented stimulus and Abe 's pro-growth reforms have yet to spur a recovery in inflation and gross domestic product growth , and the country is yet again in recession .	11	2014	mh
25204223	Perhaps the most striking example is the disappearance of the Phillips curve -- the hypothesized inverse relationship between inflation and unemployment .	6	2018	mh
2470065	And after holding near a two percent annual inflation rate ( which is where the Fed wants it ) the measure is pushing towards the three percent level as the recovery in home prices filters into the government 's inflation calculations .	5	2014	mh
70762357	Document  Agenda details UCA tuition and fees + room and board  For years , public colleges and universities have raised tuition and fees because of stagnant state funding that does n't keep up with inflation and other needs , leaders say .	5	2019	mh
2547327	This measure is defined by an income threshold that is dependent on family composition and income , adjusted for inflation .	6	2014	mh
4784878	Graham discusses how to allocate your capital across stocks and bonds , how to analyze mutual funds , how to take inflation into account , how to think wisely about risk and , especially , how to understand yourself as an investor .	11	2014	mh
24059109	He said while business executives were saying that rising trade tensions had become a bit of a risk to the economic outlook , Fed officials felt it was too early to determine what the impact will be in such areas as inflation .	4	2018	mh
483270	Investopedia noted that during the 10 years ending in 1982 , inflation averaged 8.7 percent annually , causing the price of items to almost double within that decade .	8	2013	mh
82039534	The consumer-price index rose 0.54% from the end of September , leaving the 12-month inflation rate at 3.02% , practically unchanged from the previous month , the National Statistics Institute said Thursday .	11	2019	mh
3261460	One problem posed by low inflation is that it holds up inflation-adjusted interest rates .	5	2015	mh
1103110	In his landmark 1963 study of the Great Depression , the late Murray Rothbard argued that the quest for price stability had been one of the reasons that economists of the 1920s failed to notice the monetary inflation that was occurring . (	8	2012	mh
15054630	The bank once said this tactic would quickly produce 2% inflation .	10	2016	mh
764105	Many variables , including life expectancy , inflation , investment return , are subject to educated guesses which sometimes can lead to rosier projections .	2	2012	mh
70391085	They do this to meet up with cost of living and inflation .	1	2019	mh
3626100	Despite the more pronounced commodity price boom , growth rates over the last decade have been in line with earlier boom episodes and inflation rates have remained more subdued .	9	2015	mh
17432976	"Inflation is moving up and "" people can feel good about the economic outlook . "" --"	3	2017	mh
9152767	"We do n't know how long it 's going to last but for the moment it 's helping the inflation rate to come back . """	6	2016	mh
87779300	After U.S. inflation surged 5.4% in June from a year earlier in its biggest monthly gain since August 2008 , it once again rose 5.4% in July .	8	2021	mh
32048985	The Fed 's official inflation target is 2 percent .	8	2020	mh
1018966	In other words , even after adjusting for inflation , most Americans make more than their parents -- but few have actually been able to change their socio-economic class . (	7	2012	mh
82622481	""" Every enterprise has fixed cost like wages-chemicals that go up over the years there is inflation , "" said Councillor Greg Neitzert . """	12	2019	mh
16447819	"Celebrities or not , inauguration price tag of $200 million could top record ( even adjusted for inflation )  President-elect Donald Trump and his team have called his inauguration a "" people 's "" celebration , in contrast to the celebrity-packed celebrations of past years ."	1	2017	mh
87269001	We We used used genomic genomic inflation inflation ( ( ? ?	5	2021	mh
85914584	As volatility increases with market stress , the options benefit from relative interest rate moves , whether those moves are lower ( or negative ) rates in near-term maturities - often associated with Fed rate cuts - or higher rates in long-term maturities as a result of increasing expectations of future inflation .	9	2020	mh
3875626	""" With underlying inflation still strong , the Bank of Japan will likely leave policy settings unchanged at its January meeting unless next week 's tankan disappoints significantly , "" Capital Economics ' Japan economist Marcel Thieliant wrote in a research note ."	12	2015	mh
7065979	This second , milder , period of inflation , characterized by a rapid increase in volume , would dilute primordial particle abundances , potentially leaving the universe with the density of dark matter we observe today .	1	2016	mh
91599967	"Brian Deese , director of the National Economic Council , admitted that inflation and high gas prices have created "" real economic hardship . """	6	2022	mh
2678354	A bit of inflation could induce them to invest , which might yield more rapid economic growth .	8	2014	mh
32731071	The US economy is poised for a powerful surge this year -- one that 's expected to put millions more people back to work and push inflation higher to a more desirable level , according to Eric Rosengren , president of the Federal Reserve Bank of Boston .	4	2021	mh
18276054	""" And in the last 12 months , as I said , inflation rate was down , and basically in negative territory ."	5	2017	mh
89642118	There are still residual effects impacting performance from material shortages , supply chain disruptions , and inflation , but with a conservative management team that has deliberately employed a balanced approach to capital allocation by directing half its cash flows to shareholders and reinvesting the rest into the business .	7	2022	mh
13572944	The BOJ 's choices will help it avoid a backlash on that front but risk hurting sentiment among investors who expected more-aggressive action to counter faltering inflation and a stronger currency .	7	2016	mh
70200556	While inflation is picking up and at 2.2 per cent in October is now above the ECB 's 2 per cent target , much of this is due to once-off energy price rises .	11	2018	mh
2684313	"When you ca n't find cheap coffee anywhere it 'll be inflation , "" Macke adds . """	8	2014	mh
33740564	Therefore , total inflation would n't have jumped as much .	2	2022	mh
89899517	For For example example , , in in the the South South , , where where homes homes are are often often already already fully fully electric electric , , and and switching switching to to heat heat pumps pumps is is straightforward straightforward , , the the rule rule could could take take effect effect in in this this decade decade , , while while states states in in colder colder climates climates -- -- in in which which heat heat pumps pumps are are still still an an emerging emerging technology technology and and older older homes homes may may require require electric electric upgrades upgrades that that are are eligible eligible for for Inflation Inflation Reduction Reduction Act Act subsidies subsidies as as well well -- -- would would have have until until 2030 2030 . .	9	2022	mh
23640110	Headline inflation may have edged up to 2.2 percent in February from 2.1 percent , though consensus before Tuesday 's report is for core inflation to remain at 1.8 percent .	3	2018	mh
23790797	With inflation at bay ; the dollar is enjoying a broadly stronger position relative to other world currencies .	3	2018	mh
94777589	On a monthly basis , inflation rose 0.4% , the same increase as in September , the BLS said .	11	2022	mh
2891904	Since the breakdown of the Bretton Woods international monetary system in the early 1970s , most countries have faced bouts of high and volatile inflation as they sought a suitable nominal anchor .	10	2014	mh
14999499	If you adjust the dollar amounts for inflation , you find that Wisconsin actually spent 5.4 percent less per student in real dollars in 2014 than in 2005 , said Tamarine Cornelius , a policy analyst with the Wisconsin Council on Children and Families .	10	2016	mh
85015238	The bank and the federal government are due to renew the inflation goal next year .	5	2020	mh
75597	What is the highest withdrawal amount as a percentage of retirement date assets that with inflation adjustments will be sustainable for the full 30 years ?	2	2013	mh
744390	Inflation is then likely to decline further as the contribution of energy and import prices diminishes , while downward pressure from unemployment and spare capacity continues to restrain domestically generated inflation .	2	2012	mh
87253942	More than a third of the increase in average ticket for the home improvement retailer was a result of commodity inflation  Referenced Symbols  Inflation from skyrocketing lumber prices had a big impact on Home Depot Inc. ' s fiscal first-quarter results , but some Wall Street analysts appear surprised at just how willing the home improvement retailer was to pass the higher costs onto its customers .	5	2021	mh
24952611	Currently elevated inflation should recede quickly and fiscal consolidation is set to bring the deficit below the WAEMU threshold by 2021 .	6	2018	mh
85021179	When the dollar is no longer viewed as the ultimate safe haven , we will see inflation , higher rates , and widespread defaults .	5	2020	mh
82438054	"Rents , which had been climbing faster than inflation , finally dipped , even compared with the same time a year prior . """	11	2019	mh
86851849	"Fed officials in recent days have largely been in sync in their comments that they do not see inflation becoming problematic , after Chair Jerome Powell indicated last week the central bank will remain accommodative until inflation has exceeded 2% . """	3	2021	mh
395388	Another large part of the gap comes from how analysts adjust compensation and productivity for inflation .	7	2013	mh
462432	In Hawaii , that translates into a 2013 package of $49,175 -- up $7,265 from an inflation-adjusted $41,910 in 1995 .	8	2013	mh
1227746	NEA Position : Yes Status : Approved  Ballot Measure : Amendment 3 -- would set a state revenue limit each year based on a formula that considers population growth and inflation , instead of using the current method of calculating the revenue limit based on personal income .	11	2012	mh
7438258	With each passing year , the project cost increases with inflation , lowering the rank in the cost-benefit ratio .	2	2016	mh
1029567	"Instead , the Fed could target the growth of gross domestic product , before inflation , so-called "" nominal GDP targeting . """	7	2012	mh
3879520	With voters tiring of rampant crime , triple-digit inflation and widespread shortages , polls for months had been forecasting an opposition victory .	12	2015	mh
3883122	The European Central Bank ramped up its stimulus efforts earlier this month in an attempt to lift inflation in the 19-nation eurozone back toward its target of just under 2% .	12	2015	mh
83262675	Would providing for an inflation adjustment going forward have an impact on the ability of companies to raise capital , particularly small businesses ?	1	2020	mh
70035099	The inflationary tether for COLA : the CPI-W  Since 1975 , the program has used the Consumer Price Index for Urban Wage Earners and Clerical Workers ( CPI-W ) as its annual measure of inflation for a predetermined basket of goods and services .	9	2018	mh
18991297	Even the unemployment rate without inflation is a figment.	6	2017	mh
22806916	Bank of Canada Raises Rates , Warns on Nafta Risk  The Bank of Canada raised its main interest rate to 1.25% on the strength of stellar employment data and a pickup in inflation , but it signaled a cautious approach to further rate increases while warning that uncertainty tied to the future of the North American Free Trade Agreement is likely to exert a drag on growth .	1	2018	mh
24373650	"The adjustment to equity valuations and investor expectations come as inflation and interest rates perk up and conditions turn from "" good as it gets "" to "" still good , but with some offsets . """	4	2018	mh
21172630	Why the 1970s Became the Era of U.S. Pessimism  By the time the oil crisis was in full sway , inflation was rampant , stocks were losing money , and risk was to be shunned .	10	2017	mh
1134784	And while politically connected middlemen make out like bandits , you , I presume , will be admiring the hundred of millions of starving children , who are getting killed by food inflation .	9	2012	mh
18990301	The deceleration in import prices follows similar downward moves in other inflation barometers that track the cost of American-supplied goods and services .	6	2017	mh
70715174	Sure enough , the commodity price surge was a temporary blip , and runaway inflation never happened .	4	2019	mh
70367882	The city budget , delivered in early January , tried to hoodwink Montrealers into believing the property tax hike was below the rate of inflation , as promised .	12	2018	mh
7860134	Stocks , on the other hand , offer the potential to return multiples of inflation , with dividend yields above the 10 year treasury .	3	2016	mh
31344158	This gave the Bank of Japan considerable flexibility with their QE program , as there were few reasons to worry about consequences of ' too much liquidity ' as inflation remained subdued .	10	2019	mh
2332111	Sylvia Tamale , a scholar and the author of several books on sexuality and gender in Uganda , suggests that it is no coincidence that a government that is avoiding dealing with repression , inflation , and high unemployment is pushing the fervor over homosexuality .	2	2014	mh
89845216	The Federal Reserve 's hardline stance against inflation at Friday 's Jackson Hole meeting sent stocks tumbling , finishing off a rally that began in mid-June .	8	2022	mh
2678354	The upshot of all this : first , any inflation generated by an increase of the minimum wage is likely to be small ; second , inflation affects different goods and thus different people very differently .	8	2014	mh
70271893	Our driver weaves along a bumpy dirt road lined with hot-air balloons in various stages of inflation .	11	2018	mh
1306159	"Over the last half-century , income-related assistance ( which we used to call "" welfare "" ) multiplied more than thirtyfold after adjusting for inflation ."	12	2012	mh
20545466	While leaving the European Union has cast a shadow over the economic outlook , the resulting drop in the pound has also pushed up inflation , creating a difficult balancing act for Carney .	9	2017	mh
2215687	This leads to the second issue of monetary policy : The focus on inflation indexes .	1	2014	mh
4824364	It is rising spending on some goods squeezing spending on other goods , giving families the impression of inflation .	12	2014	mh
7050443	"The latest fix on home affordability follows yesterday 's December building permit figures from Statistics New Zealand , with approvals in Auckland continuing to show "" underwhelming "" growth , according to ASB economist Jane Turner , despite ongoing evidence that the combined impact of high population growth and housing under-supply are contributing to Auckland house price inflation and budgetary pressure on low income households ."	1	2016	mh
2377751	"For those in 30 occupational categories ( chosen because "" we thought they would be interesting and understandable "" ) , Planet Money plotted their current income against their median family income in 1979 , adjusted for inflation ."	3	2014	mh
2075582	Inflation has averaged 1.5 percent for the past several years .	12	2014	mh
16475084	The ECB chief struck a markedly dovish tone , emphasizing downside risks to the inflation outlook and reiterating that the bank 's bond buying program can be extended or expanded , if needed .	1	2017	mh
25796132	Instead , the Turkish central bank left borrowing costs unchanged at 17.75% , despite concerns over high inflation and the weak currency .	7	2018	mh
2433324	Although buying inflation protection can add 50% or more to the cost of a premium , many financial experts say it 's a big mistake to go without it .	4	2014	mh
21989633	The change to how inflation is calculated will push everyone , even the poorest , into higher tax brackets faster .	12	2017	mh
16049782	Basic materials could push inflation above the 2% level .	12	2016	mh
32461	In the case of the Alpha male athlete , it can lead to a warped inflation that goes unchallenged and unquestioned .	1	2013	mh
86658263	According to FXStreet 's Yohay Elam , Powell may indirectly signal a willingness to buy more bonds by calling for increased fiscal ( government ) spending , in which case inflation hedges like bitcoin and gold could shine .	1	2021	mh
84886340	Euro rate has insignificant impact on headline inflation : ECB research  2 Min Read  FILE PHOTO : A vendor receives a five Euro bank note from a customer at the central market in Athens , Greece , July 8 , 2015 .	5	2020	mh
70133417	Unlike most private pensions , Social Security has featured inflation protection since 1975 .	10	2018	mh
738104	"When inflation went away , that laid the groundwork for a very rapid recovery . """	2	2012	mh
86492839	At that point , it will revert to its pre-2018 level of $5 million for individual estates ( $10 million for married couples ) , adjusted for inflation .	12	2020	mh
3586356	In Oakland , the minimum is also $12.25 , but with annual increases pegged to inflation .	9	2015	mh
24680289	However , the company 's bottom line is likely to be impacted by an increase in cost of goods sold owing to commodity inflation .	5	2018	mh
70499401	However , raising wages will naturally lead to inflation elsewhere , and business owners have been reluctant to embrace a sudden hike .	2	2019	mh
18886512	Inflation will rise steadily , first due to increasing raw material prices and then from other factors from 2018 onwards , the Bank of France said .	6	2017	mh
17034734	"Executive Summary :  With the largest pullback since early November being just -0.43% , we conclude that this is a "" good overbought "" condition  Market overbought on all 3 time frames - at some point , this will matter  The VIX Model is currently in Neverland ... ca n't move far enough in either direction to issue a signal  Short-term VIX just issued a trading buy ( but this could be a very short signal )  All 3 Sentiment models are now squarely negative  Highest degree of optimism on our long-term Sentiment model since late 2014  The State of the Macro Picture  Now let 's move on to the market 's "" external factors "" - the indicators designed to tell us the state of the big-picture market drivers including monetary conditions , the economy , inflation , and valuations ."	2	2017	mh
4855410	In normal times , for a country in good macroeconomic health -- say , no output gap , inflation is at target and current account is balanced -- the advice is well honed , learned from past movements in oil prices : monetary policy should make sure that , in the face of lower headline inflation , inflation expectations remain anchored , and try to maintain stable core inflation .	12	2014	mh
89797913	"Unions warn cost of living crisis has become ' living nightmare '  09:43  Unions are warning that the cost-of-living crisis has become a "" living nightmare "" for workers as the soaring rate of inflation is set to fuel more strikes ."	8	2022	mh
89294800	Supplies were cheap , and what would have taken much longer and cost more in other circumstances took only 10 weeks to build and cost $50,000 ( about $1 million today , adjusted for inflation , though just a few months ago it would have probably been more like $750,000 ) .	5	2022	mh
3629123	Or in other words the German refusal to contemplate higher inflation made the single currency inevitable .	9	2015	mh
3717100	Specifically , the proposal increases the Pension Benefit Guaranty Corporation 's ( PBGC 's ) fixed-rate premiums for single-employer plans from their current , inflation-indexed level of $64 in 2016 to $68 in 2017 , $73 in 2018 , and $78 in 2019 .	10	2015	mh
70569714	Start of Argentina school year postponed by teachers ' strike  2 Min Read  BUENOS AIRES ( Reuters ) - Argentina 's new school year , scheduled to start on Wednesday , was widely postponed until next week by a three-day strike by teachers who say their wages are not keeping up with inflation .	3	2019	mh
1167622	Figures are based on 2012 dollars , peak price adjusted for inflation .	10	2012	mh
24587411	Inflation is subdued , easing to 1.3 percent in March , the slowest pace since July 2016 .	5	2018	mh
71043228	Over the course of several decades , your currency loses purchasing power and everyone ( except the very rich ) slowly drowns in a sea of inflation that eventually becomes hyperinflation .	7	2019	mh
87818871	But if the Fed withdraws support unnecessarily , the labor market could take longer to heal , and investors might see the changes that Mr. Powell announced last year as a minor tweak rather than a meaningful commitment to raising inflation and fostering a more inclusive labor market .	8	2021	mh
447901	GDP growth increases about 0.26 percentage point and inflation rises about 0.04 percentage point .	8	2013	mh
87460564	But the vehemence of the inflation rhetoric has been wildly disproportionate to the actual risks -- and those risks now seem even smaller than they did a few weeks ago .	6	2021	mh
395388	The CPI measures 36 percent greater inflation over the past four decades than the IPD .	7	2013	mh
89994012	Britain 's housing market has cooled after a coronavirus pandemic boom as surging inflation hits consumers budgets and the Bank of England raised interest rates .	9	2022	mh
84138445	""" A very significant element in January inflation was that oil prices rose substantially in the past year , "" Varga said ."	3	2020	mh
90227774	Inflation  More than 40 years ago , respected economist Paul Volcker took over as Chair of the Fed and raised interest rates to control inflation .	11	2022	mh
17202478	The hope is that these projects will spur economic growth in the U.S. and help drive up inflation .	3	2017	mh
89941577	However However , , this this will will take take time time , , and and how how the the SFR SFR process process will will unfold unfold during during this this period period of of high high inflation inflation and and looming looming recession recession , , is is also also very very doubtful doubtful . .	9	2022	mh
23158194	The following is a chart it provides about inflation rates .	2	2018	mh
90317392	The central bank has been raising interest rates to curb borrowing and spending in order to cool stubbornly hot inflation .	12	2022	mh
304248	Consider eternal inflation , which states that the universe is expanding at an exponential rate .	6	2013	mh
9810340	The film has now grossed $422.6m domestically , making it not only the highest-grossing film of 2016 ( so far ) , but also setting it up to surpass Shrek 2 's $441.2m to become the highest-grossing domestic animated film of all-time , not accounting for inflation .	7	2016	mh
1128278	Bernanke , whose term ends in January 2014 , sought on Thursday to tamp down worries that he is aiming for higher inflation , which is near the Fed 's 2 percent target .	9	2012	mh
3206535	The market knows not to expect the economy to suffer either high inflation or deflation next year .	4	2015	mh
