id	text	Property	label	narrative_time	weight	region	city	state	scope
83678424	(Source: Bank of England) Adjusted for inflation, long-term rates have averaged 1.5% to 1.7% over time, and that includes centuries in which long-term rates were in the double-digits.	effect			0				
2489740	09 global financial crisis unfolded while U.S. inflation remained perfectly benign.	effect	other-effect	past	1				
86916542	1) implies that the source of inflation is stable at the same position and does not move over time.	effect			0				
1137155	100trn in order to raise inflation from -1% to +1%, and believe this should be carried out ideally over a three-year period.	effect			0	northeast	State College	Pennsylvania	National
70881657	2000 * Notable computer: Gateway Performance 1500 * Price tag: $3,089 * Inflation adjusted price: $4,513 The first computers with Pentium 4 processors became available in 2000.	effect			0	northeast	Stratham	New Hampshire	National
89480474	"30;3285;TOOLONG 07:09 PM Committee says inflation high despite economic activity uptick The Committee said: ""Overall economic activity appears to have picked up after edging down in the first quarter."	effect			0				
7362238	A $15 minimum wage by 2021 is about where New York's minimum wage in 1970 would be, if adjusted for inflation and cost of living differences.	effect			0				
17810274	A hike in oil prices could widen current account deficit, risk inflation and weaken the country's financial position.	effect			0				
1080305	A loss of confidence in paper money could result in searing and startling inflation, evaporating life savings and turning every stolid worker into a frantic speculator.	effect	savings	general	1				
4784548	A number of arguments are made for why inflation was so rampant during the 1970s.	effect			0				
3464270	A similar storm, Tropical Storm Doria, caused an inflation-adjusted $868 million worth of damage when it barreled up the East Coast in 1971.	effect			0				
70765049	A team of scientists has proposed a powerful new test for inflation, the theory that the universe dramatically expanded in size in a fleeting fraction of a second right after the Big Bang.	effect			0				
89956106	A union representing workers at BT Group and its networking arm Openreach said on Wednesday its members will hold a national strike over pay in October, adding to a wave of industrial action as inflation hits 40-year highs.	effect	social	present	1	midwest	Eagan	Minnesota	National
2550653	A year ago, NPR's Uri Berliner decided to take his money out of a savings account that was losing value to inflation and turn it loose in an investing adventure.	effect	savings	past	1	northeast	Ward 6	District of Columbia	National
2611720	According to the National Restaurant Industry, sales for the industry are projected to grow a mere 3.6% in nominal terms this year, or 1.2% adjusted for inflation.	effect			0				
31524110	Again, from the standpoint of recent history, a breakeven rate this low is not unusual, but it is interesting to note that inflation expectations have been rising in recent weeks.	effect			0				
85793557	"Akers, who recently published a report on college tuition inflation, noted that tuition remaining the same while the college experience diminishes ""is going to push consumers, the students, to say:' What am I paying for?"	effect			0	west	Sunnyvale	California	National
8472846	All I've seen over for decades is inflation because of higher wages and cost of goods.	effect			0				
23412283	Although a faster pace of rate hikes can't be ruled out if wage gains and inflation exhibit momentum, Powell's remarks suggest that the Fed isn't predisposed to a faster pace of rate hikes and will continue to give the economy some running room.	effect	rates	future	1				
89300046	Amazon.com founder criticized the Biden administration in two tweets over the weekend for tying the corporate tax structure to rising inflation.	effect			0	west	Sunnyvale	California	National
9863914	Among other inaccurate gibberish, the sanity-estranged missive warns...Time again for the Under $700K Club, the inflation-adjusted version of our old Under $500K club.	effect			0				
95520739	Analysts had said voters appeared increasingly focused on issues on which Republicans claimed high ground such as inflation.	effect	social	present	1				
24644438	And, I think we've shown that since the Great Recession, that we were concerned with inflation being too low.	effect			0	southeast	Kenner	Louisiana	National
395394	And that $1 has only about half the buying power after 20 years of inflation.	effect	purchase	present	1				
860293	And their insecurity has increased, as prices for basic foodstuffs soar in a wave of inflation that has swept across the region this spring, hitting the working poor hard.	effect	cost	present	1				
860293	And their insecurity has increased, as prices for basic foodstuffs soar in a wave of inflation that has swept across the region this spring, hitting the working poor hard.	effect	uncertain	present	1				
860293	And their insecurity has increased, as prices for basic foodstuffs soar in a wave of inflation that has swept across the region this spring, hitting the working poor hard.	effect	redistribution	present	1				
32074498	And we didn't see inflation result.	effect			0	northeast	Newton	Massachusetts	Local
31670685	Another option is to build two water treatment plants on the Mississippi River and treat more than 2,000 private wells, which would cost an estimated $967 million with 20-year maintenance and inflation.	effect			0	midwest	Minneapolis	Minnesota	Regional
23001339	Arguably its depreciation has been an important driver of the run up in oil prices to which breakeven inflation and bond yields have been well correlated.	effect			0	northeast	Washington	District of Columbia	National
1184403	As for price stability, inflation has averaged 1?	effect			0				
1145824	As inflation expectations become more dispersed, this measure becomes larger.	effect			0				
31297672	As of now, the historical weighted average dividend growth rate for the portfolio remains close to 9% per year, significantly outpacing inflation.	effect			0				
3817286	At the same time, the world is coming to realize that after seven years (since the financial crisis) of global monetary policies designed to stimulate growth and inflation, there has been very little of either.	effect			0				
62743537	At this point it's unclear if the recent spike in prices is simply the result of supply chain disruptions cause by COVID and should ease materially as more capacity comes on line or if the rise in input prices is a true measure of resource constraints that could usher in an unwelcome cycle of ever higher inflation expectations.	effect			0				
88618290	Because Utah has a 50-cent gas tax, and we have a 28-cent gas tax and it doesn't go up with inflation.	effect			0	west	Denver	Colorado	Regional
8311525	Because of our strong economy with virtually no inflation, we have the upper hand in the Chinese talks and, I believe, we could get a deal if we thought the Chinese were going to change their ways, not just their buying patterns.	effect			0				
90147582	Biden's net approval rating flipped from positive to negative last summer, as inflation was pushing through 5% on its way to a peak of 9% earlier this year.	effect	social	past	1	west	Portland	Oregon	National
63421290	Bonds At the moment, the ECB is still far from reaching its medium-term inflation target, which is why the central bank will maintain an expansive stance in its monetary policy.	effect			0				
31828690	Bonds pay literally nothing when you account for inflation and taxation.	effect	savings	general	1				
2541509	Brazilian Discontent Ahead of World Cup President Rousseff Gets Poor Marks on Key Issues The national mood in Brazil is grim, following a year in which more than a million people have taken to the streets of major cities across the country to protest corruption, rising inflation and a lack of government investment in public services such as education, health care and public transportation, among other things.	effect	social	present	1				
472280	Brazilian inflation is currently 6.15%, close to the 6.5% ceiling of the central bank's target range for 2013.	effect			0				
70023936	Britain's economy has slowed since June 2016's Brexit vote, with consumers under pressure from a jump in inflation driven by the weaker pound and some businesses' reluctance to invest while the terms of a future EU trading relationship remain unclear.	effect			0				
7201992	Broadly, business confidence at the end of last year showed growing optimism about the economy and it is not clear this low inflation trend will derail that but it does put growing pressure on both the Reserve Bank and the Government to give more consideration to stimulatory policies.	effect	rates	future	1	west	Whiskey Lane	Colorado	Local
22399550	But, for one thousand today you cannot buy the one thousand tomorrow's goods because of inflation.	effect	purchase	general	1				
25204221	But Dr Addison said while the global and domestic developments did not pose a threat to inflation in Ghana in the near term, the BoG was monitoring the situation to take appropriate policy actions.	effect			0				
17857026	But I have yet to see any evidence of significant earnings growth, at least when adjusted for inflation.	effect			0				
33623975	But Inflation is clouding the outlook for 2022, based on comments from bank executives to reporters and industry analysts.	effect	uncertain	present	1				
90707276	But and this moment of prayer with the war overseas and inflation surgery around the world.	effect			0	southeast	Raleigh	North Carolina	Regional
26070297	But are there other factors contributing to this rise in inflation?	effect			0				
70459956	But combined with other recent trends--growing inventories of homes available for sale, slower price inflation and even modest price reductions--the decline in mortgage rates should be encouraging for anyone seriously in the market for a home.	effect	savings	present	1	west	Vancouver	Washington	Regional
22517251	But he also cut inflation from 35 percent in 2013 to 9 percent in 2017, increased exports dramatically and improved the balance of trade.	effect			0				
88371505	"But the foremost imperatives of Biden's anti-inflation policy should be to ""look busy "" and ""first, do no harm."""	effect	govt	present	1	midwest	Madison	Wisconsin	National
14005470	"But the prices are going up extensively more than inflation."""	effect			0	west	Portland	Oregon	National
2319340	"But there is still going to be wage inflation and we still need to pay a living wage."""	effect			0				
22139223	But to fully grasp it, depending on which online calculator you use, $30 in 1919 roughly translates to $438 in today's dollars when adjusted for inflation.	effect			0				
2407230	But we used to talk to Carter about the fact that he's spending so much time on this issue, and the American people are wondering, what are you doing about gas lines, what are you doing about the economy, what are you doing about inflation?	effect	social	past	1	southeast	Arlington	Virginia	National
2407230	But we used to talk to Carter about the fact that he's spending so much time on this issue, and the American people are wondering, what are you doing about gas lines, what are you doing about the economy, what are you doing about inflation?	effect	govt	past	1	southeast	Arlington	Virginia	National
18696584	By Steven ScheerJERUSALEM, May 29 (Reuters) - Israel's central bank is expected to leave short-term interest rates unchanged for a 26th straight month on Monday, as the economy softened in the first quarter while inflation eased last month.	effect	rates	future	1				
89752980	By and large, climate activists have greeted the Inflation Reduction Act, which passed the Senate on Sunday, as an imperfect but undeniably big victory in the battle against global warming.	effect			0	southeast	Slate	West Virginia	National
32933442	Conclusion: If the Fed was possibly too hawkish by barely lifting its rate-hike forecasts, then the market thinks deflation is still a bigger threat than inflation.	effect			0	southeast	Kenner	Louisiana	National
1080305	Conclusions Avoid bonds with negative real yields (and be skeptical of officially reported inflation data).	effect	savings	general	1				
3883122	Consumer prices fell 0.1% on the year in October and annual inflation is expected to stay below the BOE 2% target throughout 2016, according to central bank forecasts.	effect			0				
3303727	Consumers experience price inflation differently, depending on the goods and services they consume.	effect	cost	general	1				
3303727	Consumers experience price inflation differently, depending on the goods and services they consume.	effect	redistribution	general	1				
83594976	Current inflation rates indicate there will be no change in interest rates for some time.	effect	rates	future	1				
85775159	Currently, the markets expect that Powell will hint that Fed is ready to tolerate higher inflation and pledge that interest rates will stay low for a long time.	effect	rates	future	1	west	Sunnyvale	California	National
23740423	Deflation is the opposite--price decreases over time--but inflation is far more common.	effect			0				
892146	Despite the turmoil of the past five years, inflation has averaged almost exactly the 2 percent rate that the FOMC designated as our medium-run target.	effect			0				
85508763	Dollar squashed as Fed seen softening inflation stance SINGAPORE (Reuters) - The dollar crumbled on Monday as cracks in the U.S. economic recovery drove investors away from the world's reserve currency as they increased bets the Federal Reserve could flag another accommodative shift in its outlook this week.	effect	rates	future	1	midwest	Madison	Wisconsin	National
85508763	Dollar squashed as Fed seen softening inflation stance SINGAPORE (Reuters) - The dollar crumbled on Monday as cracks in the U.S. economic recovery drove investors away from the world's reserve currency as they increased bets the Federal Reserve could flag another accommodative shift in its outlook this week.	effect	trade	present	1	midwest	Madison	Wisconsin	National
2544515	Double-digit inflation and interest rates were wiped away.	effect			0	midwest	Time	Illinois	National
15802705	Draghi Indicates Consensus, but Not Unanimity Behind QE Decision ECB's Inflation Forecasts Mario Draghi Begins His News Conference Key Points: Less but for Longer *The bank will continue stimulus as planned at?	effect			0	northeast	South Brunswick	New Jersey	National
22477964	ECB Governing Council member Erkki Liikanen's latest view is also commensurate with the pessimistic ECB inflation forecasts.	effect			0				
18468732	Economic conditions, including consumer spending, inflation, etc.	effect			0				
2062517	Economist Peter Schiff stated that the Federal Reserves monetary policies would lead to 20 percent inflation within one year.	effect			0				
4784878	Elroy Dimson, Paul Marsh and Mike Staunton, Triumph of the Optimists Neither light reading nor cheap (it's hard to find online for less than about $75), this book is the most thoughtful and objective analysis of the long-term returns on stocks, bonds, cash and inflation available anywhere, purged of the pom-pom waving and statistical biases that contaminate other books on the subject.	effect			0				
3278044	Even after inflation, wages are still up about 1.1 percent, or about $9 per week.	effect			0	northeast	Buffalo	New York	Regional
70357286	"Even without taking inflation into account, they made more money than we did,""Calhoun commented in a 20th anniversary reminiscence in 1998.)"	effect			0				
15070650	Even without the vote, the minimum wage may rise along with inflation under a 1998 ballot measure.	effect			0	southeast	Rogers	Arkansas	Regional
82209836	"Everything was discused including interest rates, negative interest, low inflation, easing, Dollar strength &amp; its effect on manufacturing, trade with China, E.U. &amp; others, etc.,"""	effect			0	midwest	Eagan	Minnesota	National
43531130	Exactly how much will be revealed Wednesday morning after a Labor Department report on inflation during September, a data point used in the final calculation.	effect			0	west	Phoenix	Arizona	Local
88844657	Examining changes in wages alone, Arin Dube of the University of Massachusetts-Amherst estimates that two-thirds of American workers have seen their wages go up after accounting for inflation over the last two years.	effect			0	west	San Francisco	California	National
2882671	Expenses grew at 31.1 percent (after adjusting for inflation) during the same period.	effect			0				
9924890	Experts have also been warning of massive inflation since the Federal Reserve began quantitative easing.	effect			0		Knoxville	East Tennessee	Local
1167846	"FISCAL CLIFF Investors relish gold as a quasi-currency and inflation hedge, especially ahead of the ""fiscal cliff "" in the United States of potential spending cuts and tax hikes, since the Federal Reserve will probably have to step up its QE response."	effect	savings	general	1	midwest	Eagan	Minnesota	National
14390224	Family coverage premiums have climbed a total of 20 percent over the last five years, while worker earnings have risen 11 percent and inflation has climbed 6 percent, Kaiser reported.	effect			0				
80148758	Fares are down from 25 years ago, probably 40 percent inflation adjusted.	effect			0				
7741460	Fed officials still expect the economy to grow briskly enough to cause unemployment to fall and inflation to rise toward their 2% target over time, Ms. Yellen said.	effect			0				
70554371	Following Presidential elections in 2018, Colombia's outlook is marked by higher expected GDP levels and lower expected inflation levels compared to Latam on average.	effect			0				
4843275	Food inflation Food inflation in South Africa stood at 3.5% in December 2013, peaked at 9.39% in August 2014, and settled at 7.6% in November 2014.	effect			0				
3766996	For example, if the 10-year Treasury currently has an interest rate of x% while a similar maturity TIPS has a rate of y% we might imply that expected inflation is x--y%.	effect			0				
3008254	For example, investors can add a provision that payments are to increase by a fixed amount to offset the toll inflation may take, or a money-back guarantee to protect heirs against the chance that an annuity holder dies before payments start.	effect			0	southeast	Kenner	Louisiana	National
88037409	For example, when inflation has been low in the recent past, workers might not demand raises as they would in a world where inflation was high; after all, their existing paychecks go pretty much as far as they used to.	effect			0	midwest	Romulus	Michigan	National
87373743	For that reason, many investors are taking the view that, even if Thursday's US inflation data comes out stronger than expected, markets will still shrug it off.	effect	savings	future	1	west	Sunnyvale	California	National
291889	From 2003 to 2012, the value of dog bite claims increased 51%, a rate that far outpaces inflation.	effect			0	midwest	Time	Illinois	National
1046712	From vocal Fed critics, the most commonly cited danger is that the central bank's policies will eventually lead to higher inflation down the road.	effect			0				
143378	Furthermore, during these nearly 15 years, most governments have managed their accounts responsibly: small or no fiscal deficits, low inflation, well-targeted anti-poverty programs, and so on.	effect			0				
2406942	GM: So, you're saying that we should mark the end of inflation as the big bang?	effect			0				
2406942	GV: In that model, we were postulating that you could do without standard inflation.	effect			0				
70175160	Given all of these factors, Governing Council agrees that the policy interest rate will need to rise to a neutral stance to achieve the inflation target.	effect	rates	future	1				
19189913	Given the inflation rate that would be applied in the outer years to the Medicaid program, the Senate bill is going to have more impact on the Medicaid program than even the House bill.	effect			0	northeast	Washington	District of Columbia	National
32312433	Gold, which is limited in supply and seen as a hedge against inflation in an era of ultra-loose monetary and fiscal policies, eased slightly to $1,942 per ounce after jumping more than 2 percent overnight.	effect	savings	general	1				
25177885	Goldman Sachs economists said Friday that the initial tariffs on $34 billion of products would have a minimal effect on growth and inflation, in part because it was concentrated on industrial rather than consumer goods.	effect			0	midwest	Romulus	Michigan	National
57651	Growth has slowed and inflation is running below expectations.	effect			0				
3034432	Hamid Zangeneh, an economics professor at Widener University, told Al-Monitor that Iran's high inflation rates and unemployment were the main reasons for the growth of smuggling.	effect	social	present	1				
2710224	Having sold the rights to the company for $130 in 1938 ($2,197.49 USD in 2014, adjusting for inflation), DC responded by firing the pair.	effect			0				
70473033	He also said that the inflation came down to as low as 2.19 per cent in December 2018.	effect			0				
86257558	He pointed to cash holders in inflation-prone countries like Argentina, Brazil and Venezuela.	effect			0				
2919950	"He said,""waiting too long to begin raising rates--especially waiting until we have fully met our goals for maximum employment or attained our inflation target of 2%--is risky because doing so could put monetary policy behind the curve."""	effect			0				
70637885	Her research found that high school grade point average is a better predictor of academic success for first-year students at CSU but not quite...Read More Actually, Bo, grade inflation notwithstanding, grades generally have proven to be a more effective predictor of academic success, at least in the first year of college.	effect			0				
109923	Here is the rundown of fares over the years, with the adjusted fare (2012, courtesy of the--the BLS Inflation Calculator) in parentheses.	effect			0				
1197488	"Higher cap gains would be tantamount to a financial transactions tax, and would mitigate some of the value of speculation, which has created the only ""inflation "" we see today in oil, debt instruments and the like."	effect			0	midwest	Time	Illinois	National
22694366	"Highlighting the puzzle of wage pressure, he says,""Although central banks continue to expect tighter labor markets to lead to higher inflation, recent evidence does not give much support to that theory."""	effect			0				
88412617	His His party party wants wants to to spend spend trillions trillions we we do don't n't have have and and is is convinced convinced that that printing printing more more money money cures cures inflation inflation..	effect			0	midwest	Townhall	Nebraska	National
23232402	Historically, rising inflation hasn't always meant sinking equity markets.	effect	savings	past	1	midwest	Romulus	Michigan	National
63231189	"Holders keep ""hodling,"" and inflation benefits the crypto market On-chain analysis firm Glassnode highlighted that coins held for 12 months and longer are not being moved despite the strong rally, indicating a ""holding behavior."""	effect	savings	general	1				
1277556	How a great Federal Reserve chairman conquered the inflation dragon with ideas, consensus building and a willingness to tough it out.	effect			0				
25153734	How can the members of the FOMC project a 3.5% unemployment rate in 2020 with no acceleration in inflation when they simultaneously believe that the unemployment rate can't get below 4.5% without sparking more inflation?	effect			0	northeast	Washington	District of Columbia	National
997505	However, with a national jobs forecast that remains weak and the cost of higher education continuing to grow faster than the rate of inflation, why would someone want to consider the academic, personal, and financial rigors of graduate school?	effect			0				
871187	I say real inflation because retirees have different purchases than wealthy investors.	effect	redistribution	general	1				
83514970	ISTANBUL, Jan 30 (Reuters) - Turkey's lira was little changed on Thursday and remained close to a three-week low against the dollar ahead of a quarterly report in which the central bank is expected to reaffirm its view that inflation will gradually slide this year.	effect	trade	present	1				
1145824	If households are indeed backward looking, then the increase in expected inflation in the United Kingdom is not particularly troublesome.	effect			0				
7816117	"If the ECB and BoJ cannot get rates down enough to jump-start inflation expectations, and if the US feels the need to have very low real rates in order to give inflation expectations a further kick, even as actual inflation rises, then a stronger dollar is out of the question for now."""	effect	trade	present	1				
87549489	If the central banks want to kill inflation it's a simple thing to do, if you have the stomach for the pain.	effect	rates	general	1	midwest	Forbes	North Dakota	National
62605601	If the main purpose of Mme Lagarde's press conference was to' reconfirm' the current policy stance, she was notably less successful in her efforts to describe the precise nature of the' favourable financial conditions' that stance is intended to deliver in order to boost activity and inflation.	effect			0				
720269	If the rebound falters, the inflation target could help pave the way to more bond buying.	effect			0	midwest	Eagan	Minnesota	National
17137533	If these inflation expectations keep running higher, the ECB won't be able to ignore them for long, just as it won't if inflation keeps ticking higher and we start to see the core rise.	effect	rates	future	1				
17432165	If these policies materialize, they are likely to boost economic growth and spur inflation, potentially forcing the Fed to hike rates more quickly to keep up.	effect	rates	future	1				
79636	If they held costs to no higher than the rate of inflation, it would certainly help.	effect			0				
79636	If tuition had grown in pace with inflation, the average tuition at public colleges would have been $2,052 in 2010.	effect			0				
70473185	If we had not controlled inflation, our families would have been spending 35-40 per cent more, the Finance Minister said.	effect	cost	present	1				
7281237	Illinois has one of the nation's smallest state workforces per capita, while inflation-adjusted payroll has held steady for a decade and represents barely 7% of total state spending.	effect			0				
16943189	In 1989, WIBW-TV purchased the Sky Eye for $375,000, which would be more than $726,000 today after you calculate inflation.	effect			0				
3505942	In 2000, inflation topped 90 percent, but by the following year it had dropped to 22 percent and has been in the single digits ever since.	effect			0	southeast	Miami	Florida	Local
85544334	In a development welcomed by cities and towns, the Baker administration and the Legislature are committing to maintain fiscal 2021 local aid and school aid at last year's levels, and to provide an additional $107 million in school aid to cover inflation and enrollment factors.	effect			0				
25570003	In a move designed to end Britain's reliance on property investment to drive the economy, the the Institute for Public Policy Research (IPPR) said the central bank should be given new powers to target zero house price inflation in the same way it aims to maintain general inflation at around 2%.	effect			0				
20980606	In fact, medical care inflation has topped Social Security's COLA in 33 of the past 35 years.	effect			0				
450136	In its report, the White House estimates that weather-related power outages have cost the U.S. economy an inflation-adjusted annual average of $18 billion to $33 billion over the past decade.	effect			0	midwest	Time	Illinois	National
94707702	In just one example, a final poll from ABC News and the Washington Post released this weekend found that a whopping 80% of likely voters called the economy a top issue in their vote for Congress, with 77% saying the same about inflation specifically.	effect	social	present	1				
15908159	In light of the current shortfall of inflation from 2 percent, the Committee will carefully monitor actual and expected progress toward its inflation goal.	effect	rates	future	1				
644324	In monetary policy, hawks have a laser-like focus on inflation.	effect			0				
12564	In point of fact, it really did not raise them much until the war against Viet Nam--when it feared inflation.	effect	social	past	1				
953889	In the figure below, the two lines represent the long-term trend in oil prices, 1861-2010; the dark green gives prices as they were in the dollars of the day and the light green gives the same prices in what we call constant dollars, that is adjusted for inflation and thus more logically comparable from year to year.	effect			0				
9353016	"In their last policy meeting in May, rate-setters admitted they ""would face a trade-off between stabilising inflation on the one hand and output and employment on the other,"" adding that ""the implications for the direction of monetary policy will depend on the relative magnitudes of the demand, supply and exchange rate effects."""	effect			0	northeast	Washington	District of Columbia	National
1295515	Indeed, as history shows, many popular responses to economic crises--closing borders to immigration and free trade, hiking taxes, or printing money excessively and driving up inflation--can do incredible damage to long-term growth.	effect			0	northeast	South Brunswick	New Jersey	National
277362	Inflation adjustments will be made to those compensation limits every two years.	effect			0				
92625476	Inflation climbed to 9.1% in June, its highest rate in 40 years.	effect			0	southwest	Houston	Texas	Regional
2406942	Inflation cools down the universe, but then inflation ends and the energy in the inflaton field immediately converts into heat--so-called reheating.	effect			0				
3597557	Inflation has continued to run below the Committee's longer-run objective, partly reflecting declines in energy prices and in prices of non-energy imports.	effect			0	northeast	Washington	District of Columbia	National
2993307	Inflation has declined further below the Committee's longer-run objective, largely reflecting declines in energy prices.	effect			0	northeast	Washington	District of Columbia	National
16609994	Inflation is coming, and valuations are crazy.	effect	savings	present	1				
87957765	Inflation is happening.	effect			0	midwest	Romulus	Michigan	National
786980	Inflation is higher for the affluent (who at least can afford it).	effect	cost	general	1	midwest	Time	Illinois	National
786980	Inflation is higher for the affluent (who at least can afford it).	effect	redistribution	general	1	midwest	Time	Illinois	National
88195032	Inflation is rising but so are the prices of energy and many metals.	effect			0				
9021496	Inflation is roughly in line with the Bank's expectations.	effect			0	northeast	State College	Pennsylvania	National
3394673	Inflation reached 2,600 percent that year.	effect			0				
87005062	Inflation was expected at 4.9% and 4.5% in the current and next fiscal year, within the central bank's target band of 2-6%, but 39 of 44 economists in response to an additional question said their price forecasts were skewed more to the upside.	effect			0	midwest	Eagan	Minnesota	National
34607	Investors are even paying us for 30-year Treasury bonds, when adjusted for inflation.	effect			0				
92289939	Investors had been awaiting this earnings season for clues on how companies are coping with the worst inflation in more than 40 years.	effect	cost-push	future	1	southeast	Kenner	Louisiana	National
250461	Iran has experienced double-digit inflation figures for most of the past three decades.	effect			0				
4824364	"It's time for a real debate on inflation to commence."""	effect			0	northeast	Kings County	New York	Regional
32545849	It is at least possible that the economy could rebound quickly after springtime vaccinations allow pent-up savings to be spent, and locking in more fiscal support now could fuel inflation levels that cause the Federal Reserve to begin raising interest rates.	effect	rates	future	1	west	San Francisco	California	National
17358143	It is good that European economies seem to be growing somewhat faster and that inflation is picking up a bit, but it is still my belief that the value of the euro will continue to decline against the US dollar.	effect	trade	future	1				
7777314	It is true that the cost of maintenance can change from time to time based on several variable factors like manpower, inflation, service providers, changes in government regulations, etc.	effect			0				
3572999	It reportedly cost almost $2,100 at launch, which is almost $3,500 when adjusted for inflation.	effect			0				
89911787	It should be noted that even though we expect the flow of inflation-related news to be relatively benign and even encouraging for markets in the short term, it is our view that by late 2022 or early 2023, the US economy may face another wave of inflationary pressures from some combination of surging food prices, increased energy costs and the reemergence of global supply chain issues.	effect			0				
86274534	"Its debt-to-gross domestic product ratio climbed to 240% and inflation remained ""stubbornly low."""	effect			0	southeast	Kenner	Louisiana	National
88984080	Latest Numbers Give a Hopeful Sign on Inflation We're all feeling the pinch of high prices, particularly at the gas station and grocery store.	effect	cost	present	1	midwest	Forbes	North Dakota	National
8393298	Looking forward, it is essential to preserve an appropriate degree of monetary accommodation as long as needed in order to underpin the momentum of the euro area's economic recovery and in order to accelerate the return of inflation to levels below, but close to, 2%.	effect			0				
87770411	Lumber inflation that helped Lowe's and Home Depot in the first quarter will not be a help now.	effect	cost-push	past	1				
71072604	Market Comment U.S. core inflation rose by the most in nearly 18 months in June Today it was published that U.S. underlying consumer prices increased by the most in nearly 18 months in June.	effect			0				
7395483	Mauldin Economics Source: FT Even the most novice investor can understand that owning a bond with a negative yield in a high inflation environment is the most nonsensical thing ever.	effect	savings	general	1	northeast	State College	Pennsylvania	National
8020532	Meanwhile, MediGap Plans are expected to maintain their historic inflation rate of 3.25 percent.	effect			0	southeast	Kenner	Louisiana	National
70219938	"Meanwhile, the ""optimal "" investment scenario called for the city to immediately increase its combined annual spending on the road, water and sewer networks to $524 million in 2016, and index the amount for inflation each year thereafter."	effect			0				
24490328	Meanwhile, the central bank has an inflation target range of between 2 and 4 percent.	effect			0	southeast	Kenner	Louisiana	National
63122709	Members generally expected inflation to ease as the effect of these transitory factors dissipated, but several participants remarked that they anticipated that supply chain limitations and input shortages would put upward pressure on prices into next year.	effect			0				
17968730	"Men in Black ""U.S. box office (inflation-adjusted): $472,434,200 Smart Rating: 88.03 Release year: 1997 Starring: Tommy Lee Jones, Will Smith, Linda Fiorentino They are the best-kept secret in the universe."	effect			0	midwest	Indianapolis	Indiana	Local
83153901	Minutes of that meeting released last week showed officials were still concerned about economic weakness abroad and subdued inflation, which ran below the Fed's 2% target last year.	effect			0	northeast	South Brunswick	New Jersey	National
3158804	"Minutes of the Federal Open Market Committee noted that they ""would want to be reasonably confident that inflation will move back toward 2% over time."""	effect			0				
