city,state,urban,region,time,cost,cost-push,demand,expect,fiscal,govt,international,monetary,other-cause,other-effect,purchase,rates,redistribution,savings,social,supply,trade,uncertain,wage
"albany, new york",new york,0,northeast,319,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0
"albany, new york",new york,0,northeast,320,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0
"albany, new york",new york,0,northeast,321,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
"albany, new york",new york,0,northeast,322,0,0,0,0,1,0,0,1,0,0,0,2,0,3,0,2,0,0,0
"albany, new york",new york,0,northeast,323,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0
"albany, new york",new york,0,northeast,324,1,0,0,0,0,2,0,0,0,0,0,8,0,0,0,1,0,0,0
"albany, new york",new york,0,northeast,325,2,1,3,2,2,0,0,6,0,0,0,7,1,7,0,6,0,6,0
"albany, new york",new york,0,northeast,326,1,0,0,0,0,1,0,3,0,0,2,9,0,2,0,1,0,0,0
"albany, new york",new york,0,northeast,327,0,1,1,0,1,0,1,1,0,0,1,2,0,5,0,1,0,0,3
"albany, new york",new york,0,northeast,328,0,2,0,0,0,2,1,3,0,0,3,12,0,3,0,1,1,4,1
"albany, new york",new york,0,northeast,329,2,0,0,0,0,1,0,1,0,0,1,7,1,4,0,3,0,3,0
"albany, new york",new york,0,northeast,330,2,0,0,0,0,0,0,1,0,0,3,7,1,7,0,4,0,1,0
"albany, new york",new york,0,northeast,331,1,3,1,0,2,1,0,5,0,0,0,14,0,5,0,13,0,2,4
"albany, new york",new york,0,northeast,332,1,0,2,0,1,0,3,5,1,0,2,21,0,3,1,7,0,3,3
"albany, new york",new york,0,northeast,333,0,1,5,0,1,0,3,2,0,0,2,30,1,6,0,10,0,5,3
"albany, new york",new york,0,northeast,334,0,4,2,1,0,0,0,1,0,0,0,25,0,1,0,11,0,5,0
"albany, new york",new york,0,northeast,335,1,0,2,0,0,0,0,3,0,0,1,16,0,5,0,2,0,0,2
"albany, new york",new york,0,northeast,336,0,3,1,0,1,4,0,0,0,0,1,13,2,2,0,5,0,0,4
"albany, new york",new york,0,northeast,337,4,0,1,0,0,0,1,4,0,0,1,15,0,3,0,1,0,1,1
"albany, new york",new york,0,northeast,338,1,0,0,0,0,0,0,1,0,0,1,3,0,1,0,1,0,0,1
"albany, new york",new york,0,northeast,339,1,0,0,1,0,1,0,1,0,0,0,2,0,0,1,3,0,0,0
"albany, new york",new york,0,northeast,340,2,0,0,0,0,1,0,0,0,0,0,4,0,3,0,3,0,0,0
"albany, new york",new york,0,northeast,341,4,0,0,0,0,2,0,1,0,0,0,2,0,1,0,4,1,3,0
"albany, new york",new york,0,northeast,342,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
"albany, new york",new york,0,northeast,343,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"albany, new york",new york,0,northeast,344,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,288,4,0,2,0,2,1,1,2,0,0,0,8,1,2,0,1,6,4,4
"albuquerque, new mexico",new mexico,0,west,289,2,1,0,0,2,2,0,3,0,0,0,4,1,9,0,0,0,2,0
"albuquerque, new mexico",new mexico,0,west,290,0,2,3,0,2,1,0,0,0,0,0,7,1,4,0,0,0,1,0
"albuquerque, new mexico",new mexico,0,west,291,5,3,1,0,1,7,1,0,0,0,2,1,3,0,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,292,1,2,0,0,0,5,0,0,0,0,2,0,0,4,0,0,0,0,1
"albuquerque, new mexico",new mexico,0,west,293,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0
"albuquerque, new mexico",new mexico,0,west,294,0,1,0,0,0,3,1,3,0,0,1,0,0,5,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,295,5,0,0,0,0,4,0,0,0,0,4,0,0,5,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,296,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,297,0,3,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,298,2,1,0,0,3,0,0,0,0,0,3,1,1,2,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,299,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,300,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,2,0
"albuquerque, new mexico",new mexico,0,west,301,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,1,0,0,0
"albuquerque, new mexico",new mexico,0,west,302,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0
"albuquerque, new mexico",new mexico,0,west,303,1,0,0,0,2,2,1,0,0,0,1,2,0,5,0,1,0,0,0
"albuquerque, new mexico",new mexico,0,west,304,1,0,0,0,0,1,1,0,0,0,0,0,1,2,1,0,1,0,0
"albuquerque, new mexico",new mexico,0,west,305,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,306,1,0,0,0,1,2,1,0,0,0,1,2,0,0,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,307,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,4,0,0,0
"albuquerque, new mexico",new mexico,0,west,308,2,0,2,0,0,1,0,0,0,0,2,2,0,1,0,3,0,0,0
"albuquerque, new mexico",new mexico,0,west,309,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,1
"albuquerque, new mexico",new mexico,0,west,310,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,311,0,0,0,0,5,2,0,0,2,0,0,0,0,4,0,0,1,0,0
"albuquerque, new mexico",new mexico,0,west,312,0,0,0,0,0,0,1,4,0,0,0,1,0,1,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,313,3,1,1,0,0,4,0,0,0,0,0,1,0,4,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,314,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"albuquerque, new mexico",new mexico,0,west,315,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,316,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
"albuquerque, new mexico",new mexico,0,west,317,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
"albuquerque, new mexico",new mexico,0,west,318,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,319,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"albuquerque, new mexico",new mexico,0,west,320,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"albuquerque, new mexico",new mexico,0,west,321,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
"albuquerque, new mexico",new mexico,0,west,322,2,0,0,0,0,2,0,0,0,0,0,0,0,10,0,1,0,0,2
"albuquerque, new mexico",new mexico,0,west,323,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,324,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,325,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,326,2,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,327,0,0,1,0,0,2,0,0,0,0,1,2,0,1,0,0,0,1,3
"albuquerque, new mexico",new mexico,0,west,328,3,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
"albuquerque, new mexico",new mexico,0,west,329,4,0,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0
"albuquerque, new mexico",new mexico,0,west,330,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,331,0,7,0,0,0,1,0,1,0,0,2,1,0,1,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,332,2,3,2,0,0,2,0,0,0,0,2,2,0,0,1,1,0,1,2
"albuquerque, new mexico",new mexico,0,west,333,0,3,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1
"albuquerque, new mexico",new mexico,0,west,334,2,0,0,0,0,2,0,0,0,0,0,6,0,1,0,1,0,3,0
"albuquerque, new mexico",new mexico,0,west,335,1,3,0,0,1,4,0,0,0,0,0,0,0,1,0,1,0,0,1
"albuquerque, new mexico",new mexico,0,west,336,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,337,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,338,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,339,3,2,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0
"albuquerque, new mexico",new mexico,0,west,340,2,2,0,0,0,0,0,0,0,0,3,1,1,0,0,0,2,2,0
"albuquerque, new mexico",new mexico,0,west,341,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"albuquerque, new mexico",new mexico,0,west,342,2,2,0,0,2,2,0,3,0,0,2,2,1,9,1,6,0,0,0
"albuquerque, new mexico",new mexico,0,west,343,4,0,0,1,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0
"albuquerque, new mexico",new mexico,0,west,344,1,0,1,0,2,0,0,3,0,0,0,0,0,8,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,305,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,306,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,307,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,308,0,0,0,0,3,4,0,2,0,0,1,1,0,0,0,2,0,0,0
"alexandria, louisiana",louisiana,0,southeast,309,2,3,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
"alexandria, louisiana",louisiana,0,southeast,310,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2
"alexandria, louisiana",louisiana,0,southeast,311,1,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,312,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,313,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,315,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,316,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,317,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,320,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,321,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,322,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,323,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,325,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,326,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,327,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"alexandria, louisiana",louisiana,0,southeast,328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,329,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"alexandria, louisiana",louisiana,0,southeast,330,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"alexandria, louisiana",louisiana,0,southeast,331,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,335,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,336,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,337,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"alexandria, louisiana",louisiana,0,southeast,338,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,340,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,341,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,1,1
"alexandria, louisiana",louisiana,0,southeast,343,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,344,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"alexandria, louisiana",louisiana,0,southeast,345,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"alexandria, louisiana",louisiana,0,southeast,346,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,244,2,2,3,0,4,5,0,1,0,0,0,5,2,0,1,3,2,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,245,5,3,0,0,3,5,0,1,0,1,2,3,1,1,0,0,1,0,1
"allentown, pennsylvania",pennsylvania,0,northeast,246,2,3,0,0,2,5,1,0,0,1,4,2,1,3,2,2,1,0,4
"allentown, pennsylvania",pennsylvania,0,northeast,247,11,2,1,0,5,6,0,2,0,0,2,3,1,1,3,3,0,1,2
"allentown, pennsylvania",pennsylvania,0,northeast,248,3,0,1,0,4,2,2,0,0,0,0,1,0,1,0,4,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,249,4,0,0,0,0,6,0,1,1,0,0,0,0,4,2,1,0,1,1
"allentown, pennsylvania",pennsylvania,0,northeast,250,8,4,0,0,5,5,1,0,0,0,1,0,1,4,1,2,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,251,5,2,1,0,6,1,2,0,0,0,1,2,3,6,1,1,0,0,1
"allentown, pennsylvania",pennsylvania,0,northeast,252,3,4,1,0,2,3,3,2,0,0,0,7,0,4,0,2,3,1,0
"allentown, pennsylvania",pennsylvania,0,northeast,253,7,7,1,0,1,5,0,1,0,0,1,2,2,4,2,8,2,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,254,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0
"allentown, pennsylvania",pennsylvania,0,northeast,255,3,0,0,0,0,0,0,3,0,0,0,3,0,2,2,2,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,256,6,4,3,0,0,1,0,0,0,0,3,2,0,3,0,9,0,0,1
"allentown, pennsylvania",pennsylvania,0,northeast,257,0,4,2,0,2,1,3,5,0,0,1,6,0,2,0,2,1,1,0
"allentown, pennsylvania",pennsylvania,0,northeast,258,7,0,2,0,0,1,0,0,0,0,0,1,1,0,1,7,0,0,1
"allentown, pennsylvania",pennsylvania,0,northeast,259,1,3,0,0,2,1,3,1,1,0,4,2,1,3,0,1,1,2,0
"allentown, pennsylvania",pennsylvania,0,northeast,260,6,1,2,0,0,1,0,0,0,0,2,1,1,1,0,0,0,1,2
"allentown, pennsylvania",pennsylvania,0,northeast,261,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1
"allentown, pennsylvania",pennsylvania,0,northeast,262,6,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,2
"allentown, pennsylvania",pennsylvania,0,northeast,263,1,2,2,0,1,2,0,1,0,0,2,2,2,0,1,1,0,0,1
"allentown, pennsylvania",pennsylvania,0,northeast,264,2,5,0,0,0,4,0,0,2,0,2,7,0,1,0,1,0,0,2
"allentown, pennsylvania",pennsylvania,0,northeast,265,3,6,0,0,0,7,0,0,0,0,2,0,0,1,0,3,0,0,1
"allentown, pennsylvania",pennsylvania,0,northeast,266,6,3,0,0,0,0,0,3,0,0,1,2,3,2,3,2,0,1,0
"allentown, pennsylvania",pennsylvania,0,northeast,267,1,0,0,0,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,268,4,5,1,0,0,3,0,0,0,0,0,1,0,1,0,2,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,269,1,3,0,1,0,4,1,1,0,0,5,0,0,1,3,4,0,3,0
"allentown, pennsylvania",pennsylvania,0,northeast,270,2,2,0,0,2,3,0,0,0,0,0,4,0,0,0,10,0,2,2
"allentown, pennsylvania",pennsylvania,0,northeast,271,9,3,0,1,0,10,1,0,0,0,2,1,1,4,0,0,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,272,11,4,0,0,0,2,2,0,0,0,1,0,3,1,1,5,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,273,5,1,0,0,3,4,1,0,0,0,1,0,1,0,1,0,0,0,2
"allentown, pennsylvania",pennsylvania,0,northeast,274,8,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,275,3,3,0,0,3,1,0,0,0,0,0,1,0,3,2,1,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,276,11,7,3,0,1,4,1,4,1,0,2,4,1,16,0,3,3,1,0
"allentown, pennsylvania",pennsylvania,0,northeast,277,11,2,2,0,1,4,0,2,1,0,8,9,4,17,3,5,0,0,1
"allentown, pennsylvania",pennsylvania,0,northeast,278,2,8,0,0,4,4,2,11,0,0,3,5,0,13,2,2,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,279,16,2,4,0,10,4,1,2,0,0,16,9,1,26,3,1,1,3,0
"allentown, pennsylvania",pennsylvania,0,northeast,280,6,1,0,0,0,3,0,1,0,0,0,2,0,1,1,5,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,281,4,1,0,1,4,6,0,0,0,0,1,1,2,2,3,0,0,2,3
"allentown, pennsylvania",pennsylvania,0,northeast,282,7,3,0,0,2,1,2,0,0,0,2,0,0,3,0,0,0,1,0
"allentown, pennsylvania",pennsylvania,0,northeast,283,6,0,0,0,2,1,2,0,0,0,2,0,1,7,0,0,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,284,7,4,7,0,0,0,4,9,0,0,0,18,0,8,1,16,0,3,0
"allentown, pennsylvania",pennsylvania,0,northeast,285,2,4,5,2,0,3,0,21,0,0,0,29,0,14,0,3,0,3,1
"allentown, pennsylvania",pennsylvania,0,northeast,286,3,3,4,0,3,0,2,2,0,0,1,12,0,8,0,6,0,3,4
"allentown, pennsylvania",pennsylvania,0,northeast,287,3,2,2,0,2,2,1,10,0,0,0,21,0,6,0,10,0,4,1
"allentown, pennsylvania",pennsylvania,0,northeast,288,2,2,1,0,1,0,0,1,0,0,0,5,0,4,1,2,0,0,3
"allentown, pennsylvania",pennsylvania,0,northeast,289,4,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,290,2,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,1,0
"allentown, pennsylvania",pennsylvania,0,northeast,291,0,1,0,0,4,1,1,1,0,0,1,0,0,5,0,0,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,292,2,0,1,0,0,4,0,1,0,0,0,0,1,0,0,1,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,293,1,1,0,0,0,1,0,0,0,0,0,1,0,3,0,2,0,3,2
"allentown, pennsylvania",pennsylvania,0,northeast,294,2,0,5,0,0,6,0,4,0,0,0,14,0,0,1,1,0,0,6
"allentown, pennsylvania",pennsylvania,0,northeast,295,3,1,1,0,2,3,0,2,0,0,0,9,2,3,0,9,0,0,2
"allentown, pennsylvania",pennsylvania,0,northeast,296,1,1,4,1,0,4,0,1,0,0,2,2,0,1,0,3,0,0,2
"allentown, pennsylvania",pennsylvania,0,northeast,297,3,1,0,0,1,2,1,0,0,0,3,2,1,1,1,1,1,1,4
"allentown, pennsylvania",pennsylvania,0,northeast,298,1,2,2,1,0,2,0,3,0,0,0,1,0,1,0,1,0,3,4
"allentown, pennsylvania",pennsylvania,0,northeast,299,1,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,1
"allentown, pennsylvania",pennsylvania,0,northeast,300,3,2,3,0,0,2,2,0,0,0,2,0,2,3,0,1,0,0,5
"allentown, pennsylvania",pennsylvania,0,northeast,301,5,1,0,0,1,4,0,1,0,0,1,1,0,0,0,0,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,302,6,1,0,0,4,0,1,0,0,1,0,0,0,3,0,1,0,0,2
"allentown, pennsylvania",pennsylvania,0,northeast,303,0,1,0,0,0,0,1,0,0,0,0,3,1,6,1,2,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,304,3,0,0,0,0,1,0,0,0,0,0,6,1,1,0,2,0,0,2
"allentown, pennsylvania",pennsylvania,0,northeast,305,1,0,0,0,1,0,0,1,0,0,1,3,0,3,0,4,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,306,3,0,1,0,0,1,0,1,0,0,3,4,2,2,1,1,0,0,2
"allentown, pennsylvania",pennsylvania,0,northeast,307,2,1,0,0,1,0,0,2,4,0,1,5,0,0,1,3,0,0,3
"allentown, pennsylvania",pennsylvania,0,northeast,308,1,0,4,0,1,1,3,2,0,0,1,6,1,2,0,11,0,1,4
"allentown, pennsylvania",pennsylvania,0,northeast,309,2,4,1,0,0,1,1,7,0,0,0,3,0,0,0,2,0,1,6
"allentown, pennsylvania",pennsylvania,0,northeast,310,3,1,2,0,0,0,0,1,0,0,2,1,3,0,0,5,0,0,3
"allentown, pennsylvania",pennsylvania,0,northeast,311,1,0,2,1,0,3,0,2,0,0,3,8,0,1,0,5,0,0,4
"allentown, pennsylvania",pennsylvania,0,northeast,312,2,0,1,0,1,0,0,2,0,0,1,1,0,2,0,4,0,1,0
"allentown, pennsylvania",pennsylvania,0,northeast,313,1,2,0,0,3,0,0,0,0,0,1,2,0,3,0,6,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,314,4,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0
"allentown, pennsylvania",pennsylvania,0,northeast,315,2,2,1,0,0,1,0,0,0,0,2,0,0,8,0,1,0,0,0
