"annotation_id"	"assigned"	"cause"	"city"	"cost-push-time"	"cost-time"	"created_at"	"demand-time"	"effect"	"expect-time"	"file_id"	"fiscal-time"	"govt-time"	"id"	"inflation-direction"	"international-time"	"lead_time"	"loc"	"monetary-time"	"month"	"narrative-type"	"other-cause-time"	"other-effect-time"	"purchase-time"	"rates-time"	"redistribution-time"	"region"	"savings-time"	"scope"	"social-time"	"state"	"supply-time"	"temporality"	"text"	"title"	"trade-time"	"uncertain-time"	"updated_at"	"wage-time"	"year"	"year_month"
1691	"az"	""	"cincinnati"	""	"present"	"2024-06-29T14:47:30.607262Z"	""	"cost"	""	1888370381	""	""	59543	"inflation-na"	""	75.092	"cincinnati"	""	10	"effect"	""	""	""	""	""	"midwest"	""	"local"	""	"ohio"	""	"present"	"Inflation Is probably the main reason for the dearth of bodies In many cocktail lounges and nightspots."	"Cincinnati Enquirer (1923-)"	""	""	"2024-06-29T14:47:30.607282Z"	""	1969	"1969-10"
1692	"az"	""	"new york"	""	""	"2024-06-29T14:48:04.118248Z"	""	""	""	121129569	""	""	59544	""	""	8.254	"new york, ny"	""	2	"none"	""	""	""	""	""	"northeast"	""	"national"	""	"new york"	""	""	"But individually they don't constitute inflation."	"New York Times  (1923-)"	""	""	"2024-06-29T14:48:04.118274Z"	""	1980	"1980-02"
1693	"az"	""	"los angeles"	""	""	"2024-06-29T14:48:16.631915Z"	""	""	""	158467831	""	""	59545	""	""	9.176	"los angeles, calif"	""	12	"none"	""	""	""	""	""	"west"	""	"local"	""	"california"	""	""	"""I'm not a big bear on the inflation outlook,"" Warner adds, ""it s just that I don't see any reason for improve- ment."""	"Los Angeles Times (1923-1995)"	""	""	"2024-06-29T14:48:16.631941Z"	""	1977	"1977-12"
1694	"az"	""	"detroit"	""	""	"2024-06-29T14:49:21.381493Z"	""	"purchase"	""	1820867248	""	""	59546	"inflation-na"	""	61.8	"detroit"	""	9	"{""choices"":[""effect"",""foreign""]}"	""	""	"past"	""	""	"midwest"	""	"local"	""	"michigan"	""	"past"	"Too late, bank officials discovered that the German 100,000-mark note Holcomb had given them was completely worthless, printed during the peak of Germany's post-World War I inflation."	"Detroit Free Press (1923-)"	""	""	"2024-06-29T14:49:21.381541Z"	""	1976	"1976-09"
1695	"az"	""	"washington"	""	""	"2024-06-29T14:49:33.217099Z"	""	""	""	148409678	""	""	59547	""	""	9.181	"washington, dc"	""	6	"none"	""	""	""	""	""	"northeast"	""	"national"	""	"district of columbia"	""	""	"Government, inflation        ers had been watching the I Teamster talks closely."	"Washington Post, Times Herald  (1959-1973) The"	""	""	"2024-06-29T14:49:33.217125Z"	""	1973	"1973-06"
1696	"az"	""	"washington"	""	""	"2024-06-29T14:51:43.977881Z"	""	"govt"	""	146098494	""	"present"	59548	"inflation-na"	""	101.76	"washington, dc"	""	12	"effect"	""	""	""	""	""	"northeast"	""	"national"	""	"district of columbia"	""	"present"	"Craig said in a telephone :ir/.] terview. ' ,.:i.;i , ,""] State highway :diter/ Douglas B. Fugate.,: three weeks ago that inflation, lower than expected tax collections and the fast pace of road construction in recent months have depleted road building funds to the poin t that a moratorium on new contracts is necessary."	"Washington Post  (1974-) The"	""	""	"2024-06-29T14:51:43.977910Z"	""	1974	"1974-12"
1697	"az"	"fiscal"	"cincinnati"	""	""	"2024-06-29T14:52:16.487223Z"	""	""	""	1888931340	"general"	""	59549	"inflation-up"	""	29.99	"cincinnati"	""	2	"cause"	""	""	""	""	""	"midwest"	""	"local"	""	"ohio"	""	"general"	"Flnan's argument is that state spending only feeds inflation and makes it worse."	"Cincinnati Enquirer (1923-)"	""	""	"2024-06-29T14:52:16.487243Z"	""	1979	"1979-02"
1717	"az"	""	"indianapolis"	""	"general"	"2024-07-02T01:42:31.854916Z"	""	"cost"	""	1892908411	""	""	59550	"inflation-up"	""	25.72	"indianapolis"	""	2	"effect"	""	""	""	""	""	"midwest"	""	"local"	""	"indiana"	""	"general"	"For example, a 19 per cent rate of inflation would double the cost of living in four years."	"Indianapolis Star (1923-)"	""	""	"2024-07-02T01:42:31.854938Z"	""	1974	"1974-02"
1718	"az"	"fiscal"	"st louis"	""	""	"2024-07-02T01:44:27.528238Z"	""	""	""	1901124574	"past"	""	59551	"inflation-na"	""	113.66	"st louis"	""	4	"cause"	""	""	""	""	""	"midwest"	""	"local"	""	"missouri"	""	"present"	"In a speech to the fifty-ninth annual meeting of the United States Chamber of Commerce, Mr. Nixon took issue with some private economists who had said that Administration policies policies had made little progress in curbing inflation."	"St. Louis Post-Dispatch (1923-)"	""	""	"2024-07-02T01:44:27.528264Z"	""	1971	"1971-04"
1719	"az"	""	"st louis"	""	""	"2024-07-02T01:44:40.666165Z"	""	""	""	1901452274	""	""	59552	""	""	11.451	"st louis"	""	1	"none"	""	""	""	""	""	"midwest"	""	"local"	""	"missouri"	""	""	"In addition to the problems of inflation and unemployment, the nation's international financial accounts are badly out of balance."	"St. Louis Post-Dispatch (1923-)"	""	""	"2024-07-02T01:44:40.666187Z"	""	1973	"1973-01"
1720	"az"	""	"st louis"	""	""	"2024-07-02T01:44:52.174847Z"	""	""	""	1910780976	""	""	59553	""	""	9.841	"st louis"	""	3	"none"	""	""	""	""	""	"midwest"	""	"local"	""	"missouri"	""	""	"Also near Lambert, construction is planned for a nine-story, 179-room addition to the Marriott Hotel, for a new 600-room motel by the Breckenridge Hotels Corp. and for a 63-unit motel to be known as the Oakland Park Inn. projecting at the very minimum a 10 percent annual inflation rate over the next five years."	"St. Louis Post-Dispatch (1923-)"	""	""	"2024-07-02T01:44:52.174871Z"	""	1980	"1980-03"
1721	"az"	""	"los angeles"	""	""	"2024-07-02T01:45:01.605210Z"	""	""	""	158170736	""	""	59554	""	""	7.825	"los angeles, calif"	""	3	"none"	""	""	""	""	""	"west"	""	"local"	""	"california"	""	""	"With capital goods prices rising at 4.7% in 1976, the 1977 capital spend- ing estimate represents a projected real increase of about 7% assuming the same inflation rate."	"Los Angeles Times (1923-1995)"	""	""	"2024-07-02T01:45:01.605236Z"	""	1977	"1977-03"
1722	"az"	""	"indianapolis"	""	""	"2024-07-02T01:45:14.161564Z"	""	""	""	1892921897	""	""	59555	""	""	9.411	"indianapolis"	""	7	"none"	""	""	""	""	""	"midwest"	""	"local"	""	"indiana"	""	""	"Temp TopRale No tee e.lS1094 SECRETARY-RECEPTIONIST"" Filing shorthand end typing experience. experience. 2S7-5UM. 5?5 Fmpfoymenf SECRETARY TYPIST INFLATION"" WHO CARES?"	"Indianapolis Star (1923-)"	""	""	"2024-07-02T01:45:14.161590Z"	""	1974	"1974-07"
1723	"az"	""	"washington"	""	""	"2024-07-02T01:45:37.014077Z"	""	""	""	147241684	""	""	59556	""	""	20.237	"washington, dc"	""	2	"{""choices"":[""none"",""foreign""]}"	""	""	""	""	""	"northeast"	""	"national"	""	"district of columbia"	""	""	"Presumably, what elected Bani-Sadr president was widespread hope that as an economist he would be well equipped to cope with the country s terrible problems of inflation, unemployment and food shortages."	"Washington Post  (1974-) The"	""	""	"2024-07-02T01:45:37.014110Z"	""	1980	"1980-02"
1724	"az"	""	"minneapolis"	""	""	"2024-07-02T01:45:52.552177Z"	""	""	""	1878184345	""	""	59557	""	""	13.85	"minneapolis"	""	5	"none"	""	""	""	""	""	"midwest"	""	"local"	""	"minnesota"	""	""	"With current tax rates and the known spending programs, including including a large prospective prospective increase in defense spending, the surplus would be more than $90 billion by 1980 if inflation proceeds at an average rate of 5 percent a year."	"Minneapolis Tribune (1964-1982)"	""	""	"2024-07-02T01:45:52.552196Z"	""	1974	"1974-05"
1725	"az"	""	"boston"	"present"	""	"2024-07-02T01:46:23.782524Z"	""	"cost-push"	""	275820918	""	""	59558	"inflation-up"	""	29.587	"boston, mass"	""	9	"effect"	""	""	""	""	""	"northeast"	""	"local"	""	"massachusetts"	""	"present"	"The spur to keep up with inflation has hiked sales."	"Boston Globe (1960-)"	""	""	"2024-07-02T01:46:23.782554Z"	""	1961	"1961-09"
1726	"az"	""	"chicago"	""	""	"2024-07-02T01:47:13.813249Z"	""	"govt"	""	170300850	""	"present"	59559	"inflation-up"	""	48.285	"chicago, ill"	""	6	"effect"	""	""	""	""	""	"midwest"	""	"local"	""	"illinois"	""	"present"	"After delays caused by a taxpayers suit, la- bor strikes, and Inflation, the cost ex- ceeded expectations-with the result that the legislature added an extra one- half cent to the sales taxes in the coun- ties for additional financing."	"Chicago Tribune (1963-1996)"	""	""	"2024-07-02T01:47:13.813276Z"	""	1972	"1972-06"
1727	"az"	"fiscal"	"new york"	""	""	"2024-07-02T01:47:44.434214Z"	""	""	""	120216106	"past"	""	59560	"inflation-up"	""	52.019999999999996	"new york, ny"	""	12	"cause"	""	""	""	""	""	"northeast"	""	"national"	""	"new york"	""	"present"	"The former President's secrecy about the war buildup and the related delay in tax policy, according to critics, started the nation down the road to troublesome inflation."	"New York Times  (1923-)"	""	""	"2024-07-02T01:48:08.133358Z"	""	1975	"1975-12"
1728	"az"	"supply"	"indianapolis"	""	""	"2024-07-02T02:06:48.102188Z"	""	""	""	1893413529	""	""	59561	"inflation-up"	""	26.911	"indianapolis"	""	6	"cause"	""	""	""	""	""	"midwest"	""	"local"	""	"indiana"	"present"	"future"	"Kahn told the subcommittee: ""The OPEC increases yesterday (Wednesday) raise the real specter that we will be bumping at double-digit inflation for the rest of this year."""	"Indianapolis Star (1923-)"	""	""	"2024-07-02T02:06:48.102206Z"	""	1979	"1979-06"
1729	"az"	""	"st louis"	"present"	""	"2024-07-02T02:07:14.370013Z"	""	"cost-push"	""	1901694386	""	""	59562	"inflation-up"	""	23.484	"st louis"	""	1	"effect"	""	""	""	""	""	"midwest"	""	"local"	""	"missouri"	""	"present"	"More Company officials say that these increases are necessary because of continuing inflation and higher employe wages."	"St. Louis Post-Dispatch (1923-)"	""	""	"2024-07-02T02:07:14.370033Z"	""	1976	"1976-01"
1730	"az"	"wage"	"new york"	""	""	"2024-07-02T02:09:15.649394Z"	""	""	""	133204219	""	""	59563	"inflation-down"	""	116.45700000000001	"new york, ny"	""	8	"{""choices"":[""cause"",""foreign""]}"	""	""	""	""	""	"northeast"	""	"national"	""	"new york"	""	"future"	"German Wages Leveling But Contract Demands Are Due in Second Half Gains in First Six Months Were Down From the Previous Year, And Are Termed 'Moderate' By a WALL STREET JOURNAL Staff Reporter COLOGNE, West Germany--Wage costs in West Germany are leveling, strengthening hopes of some industrialists that the country s period of wage inflation may have ended, but businessmen cross fingers since a wave of wage demands must be faced in the second half."	"Wall Street Journal  (1923-)"	""	""	"2024-07-02T02:09:20.046491Z"	"present"	1967	"1967-08"
1731	"az"	""	"detroit"	""	""	"2024-07-02T02:09:26.710634Z"	""	""	""	1833590160	""	""	59564	""	""	4.968	"detroit"	""	5	"none"	""	""	""	""	""	"midwest"	""	"local"	""	"michigan"	""	""	"The Bast Inflation-Fighter 01 All!"	"Detroit Free Press (1923-)"	""	""	"2024-07-02T02:09:26.710652Z"	""	1971	"1971-05"
1732	"az"	""	"detroit"	""	""	"2024-07-02T02:09:41.861248Z"	""	""	""	1836481313	""	""	59565	""	""	11.382	"detroit"	""	10	"none"	""	""	""	""	""	"midwest"	""	"local"	""	"michigan"	""	""	"T - V iuJAJ ""Samuelson may be a Nobal prlze-wlnnlng prlze-wlnnlng economist, but so Is F.A. Von Hayek, and he expects much worse Inflation than I'm predicting."""	"Detroit Free Press (1923-)"	""	""	"2024-07-02T02:09:41.861270Z"	""	1975	"1975-10"
1733	"az"	""	"st louis"	""	"present"	"2024-07-02T02:10:56.293053Z"	""	"{""choices"":[""cost"",""present"",""savings"",""present"",""govt""]}"	""	1903252264	""	"future"	59566	"inflation-up"	""	69.753	"st louis"	""	5	"effect"	""	""	""	""	""	"midwest"	"present"	"local"	""	"missouri"	""	"present"	"No Cause For Fear Recession and inflation have combined to take their toll on the Social Security system, as they have on almost everything else, with the result that in the next fiscal year expenditures will exceed income by about 3 billion dollars."	"St. Louis Post-Dispatch (1923-)"	""	""	"2024-07-02T02:10:56.293079Z"	""	1975	"1975-05"
1734	"az"	""	"new york"	""	""	"2024-07-02T02:12:24.635978Z"	""	""	""	134466161	""	""	59567	""	""	86.545	"new york, ny"	""	2	"none"	""	""	""	""	""	"northeast"	""	"national"	""	"new york"	""	""	"The move :d help offset the ""wide :~read impression that the Fed hasn't beer, as          as i3 should Se in  inflation. says John L Eytattt, executive vice president for 9nance and 2  of American Standard Inc., a maker of tra9 and building products and             and mining equipment."	"Wall Street Journal  (1923-)"	""	""	"2024-07-02T02:12:24.636004Z"	""	1980	"1980-02"
1735	"az"	""	"new york"	""	""	"2024-07-02T02:12:55.411216Z"	""	""	""	132615663	""	""	59568	""	""	27.125	"new york, ny"	""	12	"none"	""	""	""	""	""	"northeast"	""	"national"	""	"new york"	""	""	"General Flsenhrtu or hus accepted the honorary of an anti-Infiatlonary group know an the Council for N:conomic Growth and Security, Inc. Dr ,lames Tobin of the Freside nt s Conncll of Advisers says he s having thoughts on the desirability of creeping inflation."	"Wall Street Journal  (1923-)"	""	""	"2024-07-02T02:12:55.411241Z"	""	1961	"1961-12"
1736	"az"	""	"louisville"	""	""	"2024-07-02T02:13:11.434845Z"	""	""	""	1868512307	""	""	59569	""	""	12.954	"louisville"	""	6	"none"	""	""	""	""	""	"southeast"	""	"local"	""	"kentucky"	""	""	"Current economic theory views the balance between inflation and unemployment unemployment as a trade-off."	"Courier-Journal (1923-) The"	""	""	"2024-07-02T02:13:11.434864Z"	""	1978	"1978-06"
1737	"az"	""	"boston"	""	""	"2024-07-02T02:14:50.832984Z"	""	""	""	655247711	""	""	59570	""	""	95.416	"boston, mass"	""	1	"none"	""	""	""	""	""	"northeast"	""	"local"	""	"massachusetts"	""	""	"Asked to cite his biggest disappointment since taking office, Mr. Ford said it would have to be his frustration at being unable to ""turn a switch"" and conquer both inflation and unemployment."	"Boston Globe (1960-)"	""	""	"2024-07-02T02:14:50.833009Z"	""	1976	"1976-01"
1738	"az"	""	"new york"	""	""	"2024-07-02T02:15:15.503400Z"	""	""	""	115648267	""	""	59571	""	""	21.494	"new york, ny"	""	1	"none"	""	""	""	""	""	"northeast"	""	"national"	""	"new york"	""	""	"Careful economic planning has maintained over-all !stability despite some inflation and budget imbalance, and private capital, both foreign and domestic, is di-awing up important expansion plans."	"New York Times  (1923-)"	""	""	"2024-07-02T02:15:15.503418Z"	""	1964	"1964-01"
1739	"az"	"fiscal"	"new york"	""	""	"2024-07-02T02:19:38.819206Z"	""	""	""	123170753	"future"	""	59572	"inflation-same"	""	261.658	"new york, ny"	""	12	"{""choices"":[""cause"",""foreign""]}"	""	""	""	""	""	"northeast"	""	"national"	""	"new york"	""	"future"	"MEXICO CITY, Dec. 16 The Mexican Government plans a cautious relaxation of its austerity program next year, allowing the economy to grow by about 5 percent but still maintaining its fight against inflation."	"New York Times  (1923-)"	""	""	"2024-07-02T02:19:38.819225Z"	""	1977	"1977-12"
1740	"az"	""	"new york"	""	""	"2024-07-02T02:20:29.111303Z"	""	"savings"	""	121266770	""	""	59573	"inflation-na"	""	47.308	"new york, ny"	""	12	"effect"	""	""	""	""	""	"northeast"	"general"	"national"	""	"new york"	""	"general"	"They burble enthusiastically about housing stability, a good investment, a hedge against inflation and future resale possibilities for their apartments."	"New York Times  (1923-)"	""	""	"2024-07-02T02:20:29.111324Z"	""	1980	"1980-12"
1741	"az"	"{""choices"":[""demand"",""monetary"",""fiscal""]}"	"new york"	""	""	"2024-07-02T02:25:15.385552Z"	"general"	"trade"	""	132706624	"general"	""	59574	"inflation-up"	""	343.35299999999995	"new york, ny"	"general"	2	"{""choices"":[""cause"",""effect""]}"	""	""	""	""	""	"northeast"	""	"national"	""	"new york"	""	"general"	"Growth, by the prevailing line of reasoning in the capital, poses a t o-fold demand for Federal planning of Deterring Inflation Ofticinl9 are quite that spurting C:uve_rnment plus recovery plus .v toward toll and full tail inevitably tempt price rises: it is deemed vital to deter many of them 12h tht, new array of techniques But while planned to counted upon as a way to a or control the of gro th, it is simultaneously rated a chief instrument for accomplishing that growth The pi Ice of long-term money must be brought down, by the Treasury's handling of its o n borrowings, by cooperative Federal Resen e System maneuvers tn the credit markets, by policies of the agencies, and by whatever other means seem suitable-to spur a rush of burro ing, spending, building, producing f But the price of short-term money mast be kept from falling, to keep portable capital from fleeing to more profitable foreign markets."	"Wall Street Journal  (1923-)"	"general"	""	"2024-07-02T12:48:11.984778Z"	""	1961	"1961-02"
1742	"az"	"fiscal"	"new york"	""	""	"2024-07-02T02:25:46.506327Z"	""	""	""	120713270	"past"	""	59575	"inflation-up"	""	29.366	"new york, ny"	""	9	"cause"	""	""	""	""	""	"northeast"	""	"national"	""	"new york"	""	"present"	"These services and subsidies were beyond the state s fiscal capability and were in the long run self-defeating, as they contributed to increased inflation."	"New York Times  (1923-)"	""	""	"2024-07-02T02:25:46.506346Z"	""	1979	"1979-09"
1743	"az"	""	"minneapolis"	""	""	"2024-07-02T02:25:57.926598Z"	""	""	""	1876578463	""	""	59576	""	""	9.741	"minneapolis"	""	3	"none"	""	""	""	""	""	"midwest"	""	"local"	""	"minnesota"	""	""	"Two immediate steps against medical inflation recommended recommended by Mr. Johnson would need congressional approval. approval."	"Minneapolis Tribune (1964-1982)"	""	""	"2024-07-02T02:25:57.926618Z"	""	1968	"1968-03"
1744	"az"	""	"cincinnati"	""	""	"2024-07-02T02:27:22.664562Z"	""	"{""choices"":[""purchase"",""present"",""savings"",""present""]}"	""	1884182379	""	""	59577	"inflation-up"	""	82.883	"cincinnati"	""	2	"effect"	""	""	"present"	""	""	"midwest"	"present"	"local"	""	"ohio"	""	"present"	"""We are in a crisis of inflation which steadily saps the earnings ana savings of our people."	"Cincinnati Enquirer (1923-)"	""	""	"2024-07-02T02:27:22.664582Z"	""	1960	"1960-02"
1745	"az"	""	"minneapolis"	""	""	"2024-07-02T02:27:50.405896Z"	""	""	""	1878312688	""	""	59578	""	""	25.052	"minneapolis"	""	9	"none"	""	""	""	""	""	"midwest"	""	"local"	""	"minnesota"	""	""	"Though few but the fanatic take devolution devolution seriously, it provides a little relief from the endless discussion of inflation, government crises, the coming election, the sagging economy and falling share prices."	"Minneapolis Star (1947-1982)"	""	""	"2024-07-02T02:27:50.405923Z"	""	1974	"1974-09"
1746	"az"	""	"minneapolis"	""	""	"2024-07-02T02:28:34.709867Z"	""	"savings"	""	1878259478	""	""	59579	"inflation-up"	""	40.513	"minneapolis"	""	8	"effect"	""	""	""	""	""	"midwest"	"general"	"local"	""	"minnesota"	""	"general"	"SILVER BULLION From Liberty Metals Financial protection against worsening worsening Inflation from a company with lofty Ideas about why you deserve an edge of our deleriorating economy."	"Minneapolis Tribune (1964-1982)"	""	""	"2024-07-02T02:28:34.709894Z"	""	1974	"1974-08"
1747	"az"	"other-cause"	"washington"	""	""	"2024-07-02T02:35:38.215123Z"	""	""	""	148429224	""	""	59580	"inflation-up"	""	141.349	"washington, dc"	""	7	"cause"	"general"	""	""	""	""	"northeast"	""	"national"	""	"district of columbia"	""	"general"	"The basic tenet of the populist credo is that THEODORE J. JACOBS is executive director of the Center for Study of Responsive Law in Washington. economic concentration causes and perpetuates many of our domestic problems, including everyday ills such as inflation and overpricing."	"Washington Post, Times Herald  (1959-1973) The"	""	""	"2024-07-02T02:35:38.215143Z"	""	1973	"1973-07"
1748	"az"	"demand"	"detroit"	""	""	"2024-07-02T02:36:39.865396Z"	"present"	""	""	1820467742	""	""	59581	"inflation-down"	""	59.901	"detroit"	""	12	"cause"	""	""	""	""	""	"midwest"	""	"local"	""	"michigan"	""	"present"	"Inflation Tide Ebbing, Commerce Chief Says BY DAVID KLEMENT Free Press Business Writer The current economic slump ""has several months to run"" but it appears that ""the back of inflation has been broken,"" Commerce Secretary Frederick B. Dent said in Detroit Detroit Monday."	"Detroit Free Press (1923-)"	""	""	"2024-07-02T02:36:39.865422Z"	""	1974	"1974-12"
1749	"az"	"other-cause"	"new york"	""	""	"2024-07-02T02:37:21.229978Z"	""	""	""	123951830	""	""	59582	"inflation-na"	""	36.634	"new york, ny"	""	10	"cause"	"general"	""	""	""	""	"northeast"	""	"national"	""	"new york"	""	"general"	"But such perceptions do not dawn on those whose polemical purpose is to exploit a scare number in order to scapegoat ""over-regulation"" for inflation, unemployment, and the decline of the dollar, innovation, productivity and the Chrysler Corporation."	"New York Times  (1923-)"	""	""	"2024-07-02T02:37:21.229997Z"	""	1979	"1979-10"
1750	"az"	""	"new york"	""	""	"2024-07-02T12:49:00.965065Z"	""	""	""	120776335	""	""	59583	""	""	42.743	"new york, ny"	""	8	"{""choices"":[""none"",""foreign""]}"	""	""	""	""	""	"northeast"	""	"national"	""	"new york"	""	""	"A Million Workers Struck Briefly Last Week A Million Workers Struck Briefly Last Week Inflation Presents a Threat To Begin Regime's Future By DAVID K. SHIPLER JERUSALEM--Prime Minister Menachem Begin may have won a Nobel Prize for peace, but most Israelis wouldn't give him the prize for economics."	"New York Times  (1923-)"	""	""	"2024-07-02T12:49:00.965090Z"	""	1979	"1979-08"
1751	"az"	""	"new york"	""	""	"2024-07-02T12:49:15.549447Z"	""	""	""	117665817	""	""	59584	""	""	12.905	"new york, ny"	""	11	"none"	""	""	""	""	""	"northeast"	""	"national"	""	"new york"	""	""	"Slowdown Called 'Healthy' He noted that different persons, both inside and outside the Government, were reading recent economic statistics in different ways, with some reaching the conclusion that the business boom and inflation will continue and others concluding that they will not."	"New York Times  (1923-)"	""	""	"2024-07-02T12:49:15.549472Z"	""	1966	"1966-11"
1752	"az"	"demand"	"indianapolis"	""	""	"2024-07-02T12:50:16.393952Z"	"present"	""	""	1893053956	""	""	59585	"inflation-up"	""	76.053	"indianapolis"	""	7	"cause"	""	""	""	""	""	"midwest"	""	"local"	""	"indiana"	""	"future"	"As the nations gain strength again, ""inflation remains worrisome,"" said the department."	"Indianapolis Star (1923-)"	""	""	"2024-07-02T12:55:44.114246Z"	""	1976	"1976-07"
