text,pred,gold
"""These controls are needed now, on a temporary basis, to cool inflation inflation and provide time to implement more far-reaching programs to maintain economic stability,"" Sasser said..' s, Sasser made the request in a telegram to Federal Reserve Chairman Chairman Paul Volcker.",['fiscal'],['monetary' 'fiscal']
"""These tax subsidies have not only greatly contributed to windfall profits of the oil Industry,"" I.uken said ""hut have heen a major cause of our current runaway Inflation.""",['fiscal'],['fiscal']
"""To cushion workers against the effects effects of inflation, unions are expected to demand not only 'normal' wage increases, increases, but also catch-up wage boosts and escalator clauses in their contracts;"" contracts;""the board said in a summary of the Forum survey findings used for the 1976 forecast.",['wage'],['cost']
"""We are in a crisis of inflation which steadily saps the earnings ana savings of our people.","['purchase', 'savings']",['purchase' 'savings']
"""We continue to remain exceeding- ly skeptical about variable-rate mort- anop""he stuart Davis, chairman and chief executive of Great Western Savings & Loan Assn,, Beverly Hills, Calif., speaking for the U.S. League of Sav- ings Assns., denied that variable rates would exaggerate inflation.","['savings', 'uncertain']",['other-cause']
"""You no longer can count on being rescued from investment mistakes by, general price inflation.""",['savings'],['savings']
"', Goldfinger and other labbr spokesmen have blamed Nixon's policies of tight money, money, high interest and federal budget cuts last year for boosting unemployment afid curbing business without stopping stopping inflation.","['monetary', 'fiscal']",['monetary' 'fiscal']
"'They have and will cause Inflation to accelerate in the state and the Chicago area, destroy jobs that otherwise would be available, lower family income, and increase taxes,""he said.","['govt', 'redistribution', 'cost-push']",['govt' 'purchase' 'cost-push']
"(R-Shelbyville). who serves on the House Education Committee, said the supplemental supplemental appropriations were intended to help teachers ""catch up"" with inflation by providing enough for a minimum 8; percent to 10 percent salary hike this year.",['wage'],['govt']
"* If inflation rages, Washington is the cause and only Washington can provide the cure.",['fiscal'],['fiscal' 'govt']
",' Part of the reason for soaring food prices, of course, has been agriculture's share of inflation. inflation.",['supply'],['supply']
"- - House Republican leader' Charles A. Halleck of Indiana T said that the rocketing cost of' Government could cause inflation and ""take away the advantage"" -expected from the cut in tax-rates. tax-rates.",['fiscal'],['fiscal']
"12G Sun., Juno l, lwto SI LOUIS POST-DISPATCH 1 V pag?Mi 1 senator soaper meviews By Jim Fleblg THE ONLY way Inflation Inflation will go down is if Carter comes up with a plan to increase it.",['other-cause'],['fiscal']
"254.65371 lfyr""i'iT FOR CHURCHES, HOMES, SCHOOLS By WAYNE WIUTT I Inflation and the slumping economy have caused more people to be delinquent with their property tax payments this year than in any previous year for some time, Metro Trustee Glenn Ferguson said yesterday.","['govt', 'social']",['cost']
"A TOUGH PROGRAM New Regulations Go Into Effect Aug. 12 in Other Sectors By EDWARD COWAN Sprclul to Ille New York frames WASHINGTON, July 18 President Nixon ended the freeze today on prices for health care and food, except for beef, as he out. the fourth phase of his 23-monthold effort to combat price and wage inflation.","['supply', 'wage']",['fiscal']
A few months back he had a meeting with the executive council of the AFL-CIO to discuss labors role in his program of fighting inflation through voluntary restraint.,['wage'],['wage']
"A-2 THE CINCINNATI ENQUIRER Wednesday, July 28, 1976 Fed Fears Inflation, Will Tighten Money During Year Ahead WASHINGTON (AP) - The Federal Reserve Board will tighten the screws slightly on the nation's money supply In a new move aimed at bringing Inflation under control, Chairman Arthur F. Burns revealed Tuesday.",['monetary'],['monetary']
"According to United States Trust Co. Vice President Thomas Synott,""loan rates that affect the average consumer are a function of the outlook for Inflation which Isn't good.","['rates', 'uncertain']",['savings']
"Adamantly refusing to increase Kunguru retail prices as a means to ease economic hassles, Tyus feels that greeting cards aren't a luxury, even in these days of rising inflation.",['cost-push'],['cost-push']
"After delays caused by a taxpayers suit, la- bor strikes, and Inflation, the cost ex- ceeded expectations-with the result that the legislature added an extra one- half cent to the sales taxes in the coun- ties for additional financing.","['cost', 'govt']",['govt']
"Also reflecting current Ilfestyles and the ""economic climate,"" according to Mr. Levine, were a series of ""inflation "" rooms, ranging in price from $2,100 for a patio, and $2,500' for a bedroom, to $12,000 for a split level living/dining room.",['cost'],['cost']
"Also, inflation has continued as Third World nations have pushed up the prices of raw materials.",['international'],['supply']
"Although d,~tai!s of the guideline are l yet to be worked out, one official said, the Administration's economic advisers have' devised a prof it-margin test for commercial banks to bring them under the Administration's voluntary effort to fight inflation..4 special guideline for banks, officials hope, v: ill bolster public confidence in the President's voluntary.",['monetary'],['govt']
"Although this marketing device grew in popularity af;ter World War II, the *ness forced on today s shoppers by inflation makes ""cents off"" more enticing 'than ever before.",['purchase'],['cost']
American businessmen are wondering which to fear most: inflation or the tight-money medicine the Fed keeps administering in an attempt to cure it.,"['rates', 'uncertain']",['monetary' 'uncertain']
An $80-million annual defense budget is the real cause of inflation.,['fiscal'],['fiscal']
"Analysts have again begun to question whether the market system is performing well in the United States-whether big, business has too much power to administer price increases when demand is weak, sales are down,and the nation is trying to escape from the grip of inflation.","['demand', 'uncertain']",['other-cause']
"And Congress, sensitive sensitive to complaints that deficit spending is fueling fueling inflation, might restrict spending on needed social welfare programs.","['fiscal', 'govt']",['fiscal' 'govt']
Anybody who says that the inflation rate is in good shape now ought to talk to the housewives.,['cost'],['cost']
"As Step 2, Heller proposes a reduction in the personal income tax, but only for wage- earners whose pay increases do not exceed the Administration's anti-inflation guidelines.",['fiscal'],['fiscal']
"As administration wrap up their budget plans, they re also nearing final decisions on another basic element of their strategy to keep the economy from overheating with renewed inflation.",['fiscal'],['fiscal']
"As for silver as a hedge against inflation, it ranks well down on the list of traditional hedges.",['savings'],['savings']
"As the market fell, it car ried with it a notion that had been preached in preceding years... that the market was a hedge against inflation.",['savings'],['savings']
"As the stock market became increasingly concerned with a renewal of double-digit inflation, prices on the New York Stock Exchange dropped yesterday quite sharply though trading remained light.","['savings', 'uncertain']",['savings' 'uncertain']
"At that time and contiruing beyond Mr. Kennedy's inauguration, the country tsnll begin to learn what courses of action he will take that have a bearing on Inflation, defense spending, Government welfare programs and foreign relations.""",['govt'],['fiscal']
"Because of inflation, the capital spending required of local government is mind-boggling compared with 10 years ago.",['govt'],['govt']
"Bosworth said the 0.8% rise in consumer prices for March, which translates into an annual inflation rate of about 10%, reflected higher energy costs resulting from the United Mine Workers strike settlement, higher meat prices and increases in the minimum wage. fit seems pretty clear now that unless we can get some improvement we will begin to see an acceleration in the underlying rate of inflation,""he said.","['supply', 'wage']",['supply' 'wage']
"Bosworth, in a telephone interview, said a major weakness in the anti. inflation effort was the agency s - to get tough with unions and companies violating the guideposts.","['savings', 'uncertain']",['fiscal']
Brokers also noted Wall Street's approval of the emphasis emphasis the Carter administration administration has placed on controlling inflation.,['fiscal'],['fiscal']
"Building the ark Stabilizing Construction Costs From The New York Times The construction industry collective bargaining bill proposed by Secretary of Labor Dunlop, with strong labor-management backing, represents a sophisticated substitute for anti-inflation controls, a no-no in the Ford Administration.",['wage'],['fiscal']
"Business Briefs Corporate Profit Rose 26% in Quarter Reflecting the booming economy, the effects of inflation, inventory revaluation and dollar devaluation, firstquarter profits of 1,545 United States corporations rose 26 per cent to $11-billion from $8.79-billion in the first three months of last year.","['savings', 'uncertain']",['trade' 'cost-push']
"But $25 billion probably -would not be enough to com-, j, pletely offset an anticipated inflation rate of about 8, the normal annual increase FORD HAS ASKED Con- jn population and new ad-gress ad-gress to agree to a $395 bil- ministration spending pro-lion pro-lion spending ceiling for fi- posais for energy and the seal 1977, which means Middle East peace. of what would happen if no spending ceilings are imposed, imposed, lists Social Security and railroad retirement benefits as potentially increasing increasing the most, by $12 billion.",['govt'],['govt']
"But an energy price rise in the short run would help to stabilize the dollar and to reduce U.S. dependence on imported oil, he said, so that it would have a ""stabilizing"" influence on the inflation rate, On other issues, Blumenthal said: -Unemployment, at 6.1% in Feb- ruary, will ""continue to fall gradually.",['supply'],['supply']
But he acknowledged that the Administration-projected rate of 6.5% to 7% inflation this year still made it the na- tion s worst domestic problem.,['social'],['social']
But increasing the share of the defense budget inevitably means higher inflation.,['fiscal'],['fiscal']
"But such perceptions do not dawn on those whose polemical purpose is to exploit a scare number in order to scapegoat ""over-regulation"" for inflation, unemployment, and the decline of the dollar, innovation, productivity and the Chrysler Corporation.","['uncertain', 'other-effect']",['other-cause']
"But the lower rate could lead to new inflation as the prices of imported food, fuel and raw materials materials rise.. r Britain's new prime minister will face a dismaying dismaying array of problems, of which Jthe economy is but one: a fierce ideological rift in the party he will lead; the ever-present threat of renewed industrial strife; a virtual civil war in Northern Ireland along with a resurgence of nationalism in Scotland and Wales; uncertainty..about Britain's role in the European Community.",['international'],['supply' 'international']
"But with inflation beginning to ebb, there is less fear of another severe recession and gold has become much less attractive.""...","['savings', 'uncertain']",['savings' 'uncertain']
"By October 1979, soaring commodity prices and inflation expectations coupled with a falling dollar dictated still another dramatic announcement-another hike of the rate, higher reserve requirements and a new operating procedure to help the Fed control money growth.","['expect', 'monetary']",['supply' 'expect' 'international' 'rates']
"By going above Mr. Nixon's budget budget requests in several areas, they said, the Democrats had ""created a very harmful situation (in which) the problems of inflation will multiply multiply instead of being brought under under control.""",['fiscal'],['fiscal']
CHARTER BANK of JENNINGS 130 Rlnr Rtidi Stoplug Center Call Mr. Gettemeier 389-5500 PROPERTY IS YOUR BEST PROTECTION AGAINST INFLATION!,['savings'],['savings']
"CHICKEN IS still economical in these inflation-wrought days, and because it is versatile it suits many needs.",['other-effect'],['cost']
"Car pooling, using public transportation and eliminat- ing unnecessary use of private automobiles is a good way to cut inflation.",['demand'],['other-cause']
Carter finally became convinced that inflation was the No. 1 problem.,['uncertain'],['govt']
"Carter has proposed an ""austere"" budget to reduce the federal deficit in 1980, saying that will help control inflation.",['fiscal'],['fiscal']
"Cnunril officials also disclosed disclosed that prim increases are pending on about 1160 different products as proposed proposed by major firms under the Phase IV anti inflation guidelines. 4 The council Tuesday approved approved Increases for soaps, detergents, a wide variety of paper products and auto tires, although the tire increase increase was only about half of what major rubber companies had asked.",['supply'],['govt']
"Con-I; Con-I; tracts covering an additional;-5 million workers come vp, -'offering a big potential for strikes and wage settlements;.that could add pressure to an - (already high rate of inflation.",['wage'],['wage']
"Consequently, increases increases in valuation due to inflation do indeed raise the number of actual dollars dollars in property taxes owed.",['cost'],['savings']
"Craig said in a telephone:ir/.] terview.',.:i.;i,,""] State highway:diter/ Douglas B. Fugate.,: three weeks ago that inflation, lower than expected tax collections and the fast pace of road construction in recent months have depleted road building funds to the poin t that a moratorium on new contracts is necessary.",['govt'],['govt']
"Curtailment of money and credit, which raises interest rates, can hold down spending spending and investment, thus slowing economic economic growth and inflation.","['monetary', 'rates']",['monetary']
"Declaring that controlling inflation remains the nation s' mose serious economic problem,""the New York banker said the fiscal and monetary efforts that have been taken to restrain living cost increases are 'beginning to bite but haven't been fully successful yet.""","['monetary', 'fiscal']",['monetary' 'fiscal']
"Despite Veblen's irony, we must agree with the authors that monetary and fiscal policy should not be based upon an attempt to fool the people, and that if they expect.inflation they wlll discount that factor in present wage-price policies and demands, thereby inducing a continuous wage-price spiral.","['wage', 'expect']",['wage' 'monetary' 'fiscal']
"Despite the legal risks, a steady stream of Americans - looking to escape the pinching recession and inflation of the United States - continues to flow into Baja California.","['cost', 'uncertain']",['other-effect']
"Dixon said that recent price inflation was simply a ""cost push"" phenomenon resulting' from management giving to labor all it asked and then ""charging double"" in its product pricing.","['supply', 'wage']",['wage' 'cost-push']
"Do you agree with your chief eco- nomic adviser, who, according to the New York Times on Monday, said that your economic policies will increase inflation?",['fiscal'],['fiscal']
"Earlier the market declined unevenly, still shackled by concern over inflation and rising interest rates.","['rates', 'uncertain']",['rates' 'uncertain']
"Earlier, Blough told about1200 shareowners, it is vital tocheck inflation ""if the American steel industry is to remain competitive in world markets.""",['trade'],['trade' 'cost-push']
"Economists on the left and right agree that an increase in defense spending of the magnitude desired by major candidates will produce inflation, stymie efforts at economic recovery, and pre-empt funds for social pro- grams.","['fiscal', 'govt', 'other-effect']",['fiscal']
Flnan's argument is that state spending only feeds inflation and makes it worse.,['fiscal'],['fiscal']
"For DavisBacon, while little--known, is an engine of inflation that generates pressures on the most critical Kraft sector of the economic front -the construction industry.","['wage', 'cost-push']",['cost-push']
"For example, a 19 per cent rate of inflation would double the cost of living in four years.",['cost'],['cost']
"Frightened by of relentless inflation and the Federal Reserve's credit-tightening move last Friday, the bond market plunged.","['savings', 'uncertain']",['savings']
Fukuda Asks Moves to Save Dollar's Value By Hobart Rowen Washington Post Staff Writer Japanese Prime Minister Takeo Fukuda began a two-day summit session here yesterday morning by telling six Carter administration cabinet officers that they must succeed in controlling inflation and reducing energy consumption to protect the value of the dollar.,"['fiscal', 'other-cause']",['trade']
"Future of Long-Term Rates John D. Paulus, vice president and economist at Goldman, Sachs & Company, predicted that long-term rates would not fall more than about 1 1/2 percentage points because inflation should rise temporarily early in 1981 and because the Federal Reserve wants to keep interest rates high enough""to avoid a significant upsurge in economic activity in 1981.""",['rates'],['rates' 'savings']
"Gary Hart (D-Colo.) said adjusting individual in- come taxes for inflation ""would end the federal govern- ment s tax windfall.""",['fiscal'],['govt']
"German Wages Leveling But Contract Demands Are Due in Second Half Gains in First Six Months Were Down From the Previous Year, And Are Termed 'Moderate' By a WALL STREET JOURNAL Staff Reporter COLOGNE, West Germany--Wage costs in West Germany are leveling, strengthening hopes of some industrialists that the country s period of wage inflation may have ended, but businessmen cross fingers since a wave of wage demands must be faced in the second half.",['wage'],['wage']
Government economists said higher costs for buildings and houses forced them to increase the inflation figures for the second quarter.,['supply'],['supply']
"Government, labor and management, is designed to bring Britain's crippling inflation rate of 25 per cent down to a more manageable and competitive 10 per cent.",['trade'],['fiscal']
"Gullander, president of the NAM, testified that in fighting inflation ""the principal principal effort must be on the side of reducing government spending.""",['fiscal'],['fiscal']
"He added that the basic cause of the economy s vulnerability to inflation was the continuing budget deficit, which this year will remain at the $60 billion level of 197?.",['fiscal'],['fiscal']
He also criticized the governor for relying too heavily on the growth of state tax revenues caused by inflation to finance his proposals.,['govt'],['govt']
"He argued in something of a circle. however, in demanding lower interest rates and simultaneously a fight against the cruelties of inflation.",['rates'],['rates']
"He blames the slide of the dollar in recent months more on ""a lack of confidence in the United States, especially concerning the energy policy, trade deficit and inflation.","['trade', 'uncertain']",['trade']
He certainly played a leading leading part in causing the administration to concentrate too long and too hard on inflation inflation while the avalanche of recession was making up.,['uncertain'],['govt']
He has even bought a cast-off absurdity: absurdity: the Kemp-Roth plan to banish inflation inflation by cutting federal spending by one-third one-third in three years.,['fiscal'],['fiscal']
"He outlined a course of ""steady as you go"" monetary policy m which pressures were being resisted from those who wanted the Fed to ease up because of reduced money-supply Growth and from those who wanted further accelerating inflation. wlVe re nut erratic people,""he said in an interview.",['monetary'],['monetary']
"He proposes easing inflation through natural market forces, saying that once the economy is revived, new jobs will flow automatically. automatically.",['demand'],['demand' 'supply']
He reasons that inflation and wage rises result in a shortage of investment capital to expand production.,"['wage', 'savings']",['cost-push']
"He said Kroger is camvinced that It has the right combination for profitable growth, being in the necessities business at a time when consumer spending is cautious, in a popular pricing business w hen everyone is budget conscious, and in a cash business at a time when inflation is a problem to companies v~nth long delays between soles and deliveries.",['cost-push'],['cost-push']
He said inflation was a big factor in the increased costs of doing business.,['cost-push'],['cost-push']
"He said inflation was every American's problem and that the nation's economic, military and spiritual strength depended on solving it.",['social'],['social']
"He said national security was threat--. ened by inflation resulting from oil import costs as well as ""by the unchecked and wasteful nuclear arms race.""","['international', 'social']",['supply' 'social']
"He said the recommendation of 8.66g for full pay was ""inconsistent with my course of ac- tion to build a strong and stable economy and to bring inflation under control.",['wage'],['wage']
"House, Senate Adopt Budgets With Deficits From Time, Wire Services WASHINGTON-The House and Senate Thursday approved slightly different versions of a 1977 federal budget which supporters said would create almost a million new jobs and critics said might reignite inflation nnd qet hark Pennnmic Both are about $19 billion more than President Ford proposed last January and would produce a deficit of more than $50 billion.",['fiscal'],['fiscal']
"I fear that there are too many people who believe that the unemployed must be used as a buffer stock against inflation.""",['social'],['social']
"If interest rates continue continue to drop and if inflation continues, money will be more available.""",['rates'],['savings']
"In Charles de Gaulle's famous phrase, gold has ""eternally and universally been regarded as the unalterable currency par excellence""--when wars loom or inflation seems out of control.","['savings', 'uncertain']",['savings']
"In a speech to the fifty-ninth annual meeting of the United States Chamber of Commerce, Mr. Nixon took issue with some private economists who had said that Administration policies policies had made little progress in curbing inflation.",['fiscal'],['fiscal']
"In addition, James W. Button, senior vice president, merchandising, said a ""moderate"" inflation rate of 5~ ~ to 6~~ a yaar wouldn't significantly hurl Sears sale or profit.","['savings', 'uncertain']",['cost-push']
"In an address before the Business Council, Ford said he is ""deeply concerned"" about ""three domestic devils inflation, recession and energy.""","['uncertain', 'other-effect']",['social']
"In an effort to soothe anxiety over the rising cost of living, President Nixon set up a so-called ""inflation alert"" to focus attention on the problem.",['cost'],['cost' 'govt' 'social']
"In arguing for restraint in applying restraint, National City makes its fear explicit;""Since the limits of public tolerance presumably would be exceeded when the unemployment rate reached the 7^/r to 87^ range, action now would only lead to recklessly stimulative monetary and fiscal policies in 1975 and even more rapid inflation in subsequent years.""","['monetary', 'fiscal']",['monetary' 'fiscal']
"In sum, I personally feel that the mystery of the current bout of inflation in the United States is readily solvable; it is as much a direct consequence of the dollar s devaluations as any other cause.",['international'],['international']
"In the face of inflation, he may have fewer people next fiscal year.",['cost-push'],['cost-push']
"In the first instance, accelerating inflation has driven the replacement cost of capital, in its physical sense, to substantially above the capital consumption allowances chargeable against historical cost.",['cost-push'],['cost-push']
"In the meeting, Kemp said he heard ""a number of Democrats as well as Republicans' very much frustrated by a desire to fight inflation by slowing down the economy.",['demand'],['fiscal']
"In the recent revival of academic and political discussion of U.S. exchange-rate policy, we have been critical of the floating experience, which, accidentally or not, happens to coincide with the worst global inflation and recession in decades.","['trade', 'uncertain']",['international']
Increased employee militance and the desire of employees to keep ahead of inflation have put irresistible pressures on local local officials.,['wage'],['wage' 'social']
Inflation Is probably the main reason for the dearth of bodies In many cocktail lounges and nightspots.,['cost'],['cost']
Inflation and general economic uncertainty uncertainty are causing some confident people to insist on even bigger jumps.,['uncertain'],['uncertain']
Inflation is eating into savings.but neither Congress nor the president has been able to do much about it.,"['govt', 'savings']",['savings']
Inflation is pushing everyday expenses up-GM says its costs are rising at a 12% annual rate.,"['cost', 'cost-push']",['cost' 'cost-push']
"Inflation was running at 200 percent a year as the price of basic necessities, usually only available on the black market, went out of sight.","['cost', 'uncertain']",['cost']
"Inflation worries many of the pessimists, and bothers everyone else, especially anyone who s been out shopping for Christmas presents and remembers what last year s prices were like.",['purchase'],['cost' 'social']
"Inflation, too, hits government, just as it hits household or business costs.","['govt', 'cost-push']",['cost' 'govt' 'cost-push']
Inflation-hardened workers tend to spend their incomes quickly after payday in order to buy as many of their needs as possible before prices go up again.,"['purchase', 'uncertain']",['cost']
Interest rates the cost or price of money almost always follow the inflation spiral upward.,['rates'],['savings']
"It is not a problem inherent in black culture, but affects blacks more because they are more often the victims of inflation, inadequate educational opportunities, unemployment and under-employment.",['social'],['redistribution' 'social']
It seems that many businessmen and economists are saying that inflation is becoming such a serious problem that the only way to beat it Is to have higher unem. ployment.,['uncertain'],['demand' 'supply']
It shatters the myth that Communist economic planning rules our inflation.,['other-cause'],['other-cause']
"It tells you why silver has grown 147 in 12 months, it itemizes its vast uses, it offers some sound suggestions on beating inflation, and it lets you know why the projections projections for silver are higher than ever.",['savings'],['savings']
"It was both natural and necessary that Mr. Heath ran his campaign on issues Britain's inflation, its still-parlous economic economic condition (a fact brought home most timely by balance-of-payment figures figures published just before election day and showing a $74-million deficit in trade for May), and the inability of Mr. Wilson generally to establish national policies and stick to them against the dogmatic socialists and the selfish union leaders in his party.","['govt', 'social', 'trade']",['international' 'social']
"It was the president's first reference reference to the possibility of further tax cuts to check the drag effects on the economy from legislated tax increases in Social Security and energy and the effects of inflation, inflation, which pushes income into ever higher tax brackets.",['redistribution'],['cost' 'govt']
"John M. Richman, chairman and chief executive, wrote, (Wq have) stated our support of (Carter's) com- mitment to combat inflation through appropriate government fiscal policies, such as limiting federal ex- penditures, reducing federal employment, and achieving significant reductions In the federal deficit.,We still believe that such are the only means by which inflation can le brought under control.'",['fiscal'],['fiscal']
"Kahn told the subcommittee: ""The OPEC increases yesterday (Wednesday) raise the real specter that we will be bumping at double-digit inflation for the rest of this year.""",['international'],['supply']
"Keesler said ""None of its knows how I warm the cold war will get,,but we do know that in the past 10 years of that war, both economic and social problems here have increased and inflation has been speeded up.",['social'],['other-cause']
"Kenvv (UP- Thp TFiimnvn FRnnnmi, C(nm- munity is to make a $6 million grant to Kenya to offset the effects of inflation aggravated by spiraling oil prices, it was announced here.","['international', 'other-effect']",['supply']
"Last year the same people wanted Spiro Agnew..- 4 That new price-wage office in Washington, set up for Nixon's anti-inflation program, program, is getting new carpet on the floors and pictures on the wall, which sure sounds like it expects to be there for a while, not just until Nov. 12.",['expect'],['govt']
"MEXICO CITY, Dec. 16 The Mexican Government plans a cautious relaxation of its austerity program next year, allowing the economy to grow by about 5 percent but still maintaining its fight against inflation.",['fiscal'],['fiscal']
MIND YOUR MONEY MIND YOUR MONEY Diamonds: A Facet -Finding Tour By PETER WEAVER Question: I've seen several magazine ads touting diam- onds as a hedge against inflation.,['savings'],['savings']
"Members fine York Stock Exchange ""DIVIDENDS OVER THE YEARS"" 81 PINE STREET 7751 CARONDELET AVE. ST. LOUS. MO. CLAYTON 5, MO, M A 1-5448 VO 3-0700 U.S. Economy Today NO BOOM AND BUST IN MAKING By Sam Dawson NEW YORK, Sept. 15 (AP) The auto labor pacts being hammered hammered out in Detroit have revived talk of possibly increased inflation inflation but without conviction that anything like a boom and bust is in the making, WlIITK & COMPANY incorporated memieusi New York Stork Exchange Miduest Stock Exchange American Stock Exchange (Associate) 506 OLIVE STREET, SAINT LOUIS I, MISSOURI CEntral 1-0282 ""DIVIDENDS OVER THE YEARS SCHERCK, RlCHTER COMPANY, INC.","['savings', 'uncertain']",['wage']
"Miller Upton, president, Be- loit college, Beloit, Wis., told the tax writers that the tax program of President Kennedy ""moves in the direction of dis- couraging private philanthropy and' it is bound to contribute to further inflation.""",['fiscal'],['fiscal']
Miller said that inflation and progressive progressive tax rates would add $8 billion to the taxpayer's burden next year while the scheduled Jan. 1 Social Security increase will add another $4 billion.,"['cost', 'govt']",['cost']
More Company officials say that these increases are necessary because of continuing inflation and higher employe wages.,"['supply', 'wage']",['cost-push']
"More important, Mr. Nixon must do something tangible and useful about inflation beyond hoping that inflation will also get worse elsewhere.",['expect'],['govt']
"NEED EXTRA MONEY? tf you are employed but need extra income to keep up with inflation, this could be the answer An opportunity to earn SI00-S200 ft, even J 300 per wk working in your spare time a tew nights a week.",['cost'],['cost']
"Nevertheless, Levitt contended, by taking positive steps to cut government spending and by using direct credit restraints-in lieu of even higher interest rates than are already in prospect-to curb spending by consumers and business, Carter has laid some of the ground- work for an easing of inflation.","['monetary', 'fiscal']",['monetary' 'fiscal']
"Nixon Aide Warns of Inflation Danger DETROIT FREE PRESS Friday, Aug. 15, '69 Dollar Value Could Be Cut in Half Prsm UPI and AP WASHINGTON (UPI) With the latest indicators offering offering little relief, Treasury Secretary David M. Kennedy warned Thursday that the present rate of inflation would cut the value of the dollar in half in just 11 years.",['purchase'],['purchase' 'trade']
"No Cause For Fear Recession and inflation have combined to take their toll on the Social Security system, as they have on almost everything else, with the result that in the next fiscal year expenditures will exceed income by about 3 billion dollars.","['govt', 'social']",['cost' 'govt']
Now the tax increase proponents proponents maintain that putting putting mere of the anti-inflation burden on fiscal policy policy would allow interest rates to come back down sooner than otherwise would be the case.,"['fiscal', 'rates']",['fiscal']
"Now when rampant inflation is just about to put us all in tne poor- house some brilliant. economists come up with the ""brand new"" idea that there may be too much govern-. ment regulation.","['fiscal', 'cost']",['cost']
"OKLAHOMA CITYRalph McGill, publisher of t h e Atlanta Constitution, voicing fears about what Richard M. Nixon m i g h t do as president to combat inflation: ""There is very real concern that in the effort to end inflation he will permit a little more unemployment.",['uncertain'],['fiscal']
One of our best hedges against inflation is vacant land.,['savings'],['savings']
One reason inflation is comparatively moderate is that Mr. Schmidt and the heads of the Tabor unions agreed early this year to keep demands for wage 'increases between 6 and 8 per cent-and that the union movement is disciplined enough to allow that; as it is not in Britain.,['wage'],['wage']
"One way to fight inflation, he said, would be for the Reagan Administration to suggest wage moderation to them before entertaining any more of their cries for special help.",['wage'],['wage']
"Opposition parties have prepared for the elections by forming an informal coalition to concentrate on strong common candidates, and they are geared to emphasize the bread-andbutter issues of inflation.",['social'],['social']
"Other assets were difficult; and so they turned to gold, even at prices that now bear no relation to its useful value or to its value as a hedge against likely inflation.",['savings'],['savings']
Others have suggested an excess profits tax to put of the burden of fighting inflation on big business.,['fiscal'],['govt' 'cost-push']
"Our prices were GOOD before, but now they're GREATIt 7879 University NE. 786-7282 2 BEDROOM AVAIL. 5950 E. RIVER RO., FRIDLEY Jan. 1 occup., located lusl north or era, quiet, on outline, no pelt. $275 571-4799 FIGHT INFLATION-own reth-er reth-er than rent.","['savings', 'uncertain']",['savings']
"PAUL DOWNTOWN AIRPORT HOIMAN HllO ACIOSS ROIIKT STUICT MIDftl Better F. GREEN The threat seems remote. that the $6,750,000,000 deficit of this 1962 fiscal year will Eromote inflation, Dillon said, ecause ""government income and outgo will come into approximate approximate balance, by mid- December.","['savings', 'uncertain']",['fiscal']
Page 26 Inflation ruins a black family s dream.,['social'],['cost' 'social']
"President Nixon, like Britain's Britain's labortie Harold Wilson, Wilson, will use tight money to create some unemployment unemployment to cool off overheated inflation.","['monetary', 'uncertain']",['monetary']
