text,pred,gold
"A Million Workers Struck Briefly Last Week A Million Workers Struck Briefly Last Week Inflation Presents a Threat To Begin Regime's Future By DAVID K. SHIPLER JERUSALEM--Prime Minister Menachem Begin may have won a Nobel Prize for peace, but most Israelis wouldn't give him the prize for economics.",['social'],['no narrative']
"A TOUGH PROGRAM New Regulations Go Into Effect Aug. 12 in Other Sectors By EDWARD COWAN Sprclul to Ille New York frames WASHINGTON, July 18 President Nixon ended the freeze today on prices for health care and food, except for beef, as he out. the fourth phase of his 23-monthold effort to combat price and wage inflation.",['fiscal'],['fiscal']
"A boom in demand for college degrees, an inflation in costs and a squeeze on ability to pay.",['cost'],['no narrative']
A few months back he had a meeting with the executive council of the AFL-CIO to discuss labors role in his program of fighting inflation through voluntary restraint.,['wage'],['wage']
A good thing in these days of inflation and shortages.,['no narrative'],['no narrative']
A year ago the administration assumed inflation would run at 7.5 percent in 1979.,['no narrative'],['no narrative']
"A-2 THE CINCINNATI ENQUIRER Wednesday, July 28, 1976 Fed Fears Inflation, Will Tighten Money During Year Ahead WASHINGTON (AP) - The Federal Reserve Board will tighten the screws slightly on the nation's money supply In a new move aimed at bringing Inflation under control, Chairman Arthur F. Burns revealed Tuesday.","['monetary', 'rates']",['monetary']
"About the only seemingly encouraging thing Mr. Tehan had to say this time was that inflation is ""just about over.""",['no narrative'],['no narrative']
"According to United States Trust Co. Vice President Thomas Synott,""loan rates that affect the average consumer are a function of the outlook for Inflation which Isn't good.",['rates'],['savings']
"Adamantly refusing to increase Kunguru retail prices as a means to ease economic hassles, Tyus feels that greeting cards aren't a luxury, even in these days of rising inflation.",['cost-push'],['cost-push']
"Add a dollop of whipped cream and a HI $mm mm Ml MS ClEBi r GREEN MAGIC ALL- PURPOSE HOUSEHOLD CLEANER IS A POSITIVE WAY TO FIGHT INFLATION With safe, gentle, effective Green Magic, you can replace liquid cleaners, oven cleaners, cleansers, tile cleaners, metal cleaners, steel wool soap pads and more.",['no narrative'],['no narrative']
"Administration economists forecast only a controlled and welcome slowdown, while most private ones foresaw worse-continued inflation and rising unemployment.",['no narrative'],['no narrative']
"After adjusting for inflation, the Increase is expected expected to amount to about 3 per cent this year.",['no narrative'],['no narrative']
"After delays caused by a taxpayers suit, la- bor strikes, and Inflation, the cost ex- ceeded expectations-with the result that the legislature added an extra one- half cent to the sales taxes in the coun- ties for additional financing.","['wage', 'govt']",['govt']
"Also inflation, unemployment, unemployment, race relations, generation generation gaps, hair of all lengths, and politicians and psychiatrists of all kinds.",['no narrative'],['no narrative']
"Also near Lambert, construction is planned for a nine-story, 179-room addition to the Marriott Hotel, for a new 600-room motel by the Breckenridge Hotels Corp. and for a 63-unit motel to be known as the Oakland Park Inn. projecting at the very minimum a 10 percent annual inflation rate over the next five years.",['no narrative'],['no narrative']
"Also reflecting current Ilfestyles and the ""economic climate,"" according to Mr. Levine, were a series of ""inflation "" rooms, ranging in price from $2,100 for a patio, and $2,500' for a bedroom, to $12,000 for a split level living/dining room.",['no narrative'],['cost']
"Also, inflation has continued as Third World nations have pushed up the prices of raw materials.",['supply'],['supply']
"Although d,~tai!s of the guideline are l yet to be worked out, one official said, the Administration's economic advisers have' devised a prof it-margin test for commercial banks to bring them under the Administration's voluntary effort to fight inflation..4 special guideline for banks, officials hope, v: ill bolster public confidence in the President's voluntary.",['monetary'],['govt']
"Although inflation, which brought higher prices for tickets, played a partial, but by no means solo, role in the rise of revenues, the attendance figures indicate a steady growth in theatergoing.",['no narrative'],['no narrative']
"Although this marketing device grew in popularity af;ter World War II, the *ness forced on today s shoppers by inflation makes ""cents off"" more enticing 'than ever before.",['purchase'],['cost']
American businessmen are wondering which to fear most: inflation or the tight-money medicine the Fed keeps administering in an attempt to cure it.,"['monetary', 'rates']",['monetary' 'uncertain']
An $80-million annual defense budget is the real cause of inflation.,['fiscal'],['fiscal']
"Analysts have again begun to question whether the market system is performing well in the United States-whether big, business has too much power to administer price increases when demand is weak, sales are down,and the nation is trying to escape from the grip of inflation.",['cost-push'],['other-cause']
"And Congress, sensitive sensitive to complaints that deficit spending is fueling fueling inflation, might restrict spending on needed social welfare programs.","['fiscal', 'govt']",['fiscal' 'govt']
"And finally, like the rest of Europe, the Netherlands is fighting a case of inflation.",['no narrative'],['no narrative']
Any settlement settlement we arrive at In these negotiations must not cause renewed inflation.',['no narrative'],['no narrative']
Anybody who says that the inflation rate is in good shape now ought to talk to the housewives.,['purchase'],['cost']
"As MADEIRA FIGHT INFLATION Actume a 514 annual oercentaqe rate, loan, on this beautifully landscaped lot with central air, new furnace, 2 bed rooms, raised hearth fireplace in living room; must see. 7V3-6V3U.",['no narrative'],['no narrative']
"As Step 2, Heller proposes a reduction in the personal income tax, but only for wage- earners whose pay increases do not exceed the Administration's anti-inflation guidelines.","['fiscal', 'govt']",['fiscal']
"As a result of this auction, Ziinmermam is qualified to make appraisals lhat are factual and realistic, weighing loss of value due to obsolescence against increase in replacement costs of ma due.o inflation.",['purchase'],['no narrative']
"As administration wrap up their budget plans, they re also nearing final decisions on another basic element of their strategy to keep the economy from overheating with renewed inflation.",['fiscal'],['fiscal']
"As for silver as a hedge against inflation, it ranks well down on the list of traditional hedges.",['savings'],['savings']
"As the market fell, it car ried with it a notion that had been preached in preceding years... that the market was a hedge against inflation.",['savings'],['savings']
"As the nations gain strength again,""inflation remains worrisome,"" said the department.",['no narrative'],['no narrative']
"As the stock market became increasingly concerned with a renewal of double-digit inflation, prices on the New York Stock Exchange dropped yesterday quite sharply though trading remained light.",['savings'],['savings' 'uncertain']
Ask about our inflation fighters lease.,['no narrative'],['no narrative']
"Asked to cite his biggest disappointment since taking office, Mr. Ford said it would have to be his frustration at being unable to ""turn a switch"" and conquer both inflation and unemployment.",['no narrative'],['no narrative']
"At present, the rate of inflation is about 3;c. Becker sees the rate at under 2 Jo in the fourth quarter, prior to its expected sharp advance.",['no narrative'],['no narrative']
"At that time and contiruing beyond Mr. Kennedy's inauguration, the country tsnll begin to learn what courses of action he will take that have a bearing on Inflation, defense spending, Government welfare programs and foreign relations.""",['fiscal'],['fiscal']
BLOOMINGTON BEAT INFLATION JOIN BLUE KEY!,['no narrative'],['no narrative']
"BOLIVIAN INFLATION BOLIVIAN INFLATION How to Be Millionaire With 100 U.S. Dollars LA PAZ, Bolivia I.t - How would you like to he a Bolivian millionaire?",['no narrative'],['no narrative']
"BURNS, NOW associated associated with the American Enterprise Institute, a Washington Washington research organization, organization, had been asked for suggestions on how the government should fight inflation.",['no narrative'],['no narrative']
Beat inflation.,['no narrative'],['no narrative']
"Because of inflation, the capital spending required of local government is mind-boggling compared with 10 years ago.",['cost-push'],['govt']
"Besides, some say, when inflation gets into double figures, 2 per cent or 3 per cent shrinks in significance.",['no narrative'],['no narrative']
"Bosworth said the 0.8% rise in consumer prices for March, which translates into an annual inflation rate of about 10%, reflected higher energy costs resulting from the United Mine Workers strike settlement, higher meat prices and increases in the minimum wage. fit seems pretty clear now that unless we can get some improvement we will begin to see an acceleration in the underlying rate of inflation,""he said.",['wage'],['supply' 'wage']
"Bosworth, in a telephone interview, said a major weakness in the anti. inflation effort was the agency s - to get tough with unions and companies violating the guideposts.",['wage'],['fiscal']
"Britain and Italy, struggling against awesome inflation, are IN THREE short paragraphs, paragraphs, leaders of the seven industrial industrial nations attending the Bonn summit Trudeau conference took a significant step against airline hijacking hijacking and terrorism.",['no narrative'],['no narrative']
Brokers also noted Wall Street's approval of the emphasis emphasis the Carter administration administration has placed on controlling inflation.,['fiscal'],['fiscal']
"Building the ark Stabilizing Construction Costs From The New York Times The construction industry collective bargaining bill proposed by Secretary of Labor Dunlop, with strong labor-management backing, represents a sophisticated substitute for anti-inflation controls, a no-no in the Ford Administration.",['wage'],['fiscal']
"Business Briefs Corporate Profit Rose 26% in Quarter Reflecting the booming economy, the effects of inflation, inventory revaluation and dollar devaluation, firstquarter profits of 1,545 United States corporations rose 26 per cent to $11-billion from $8.79-billion in the first three months of last year.",['no narrative'],['trade' 'cost-push']
"But $25 billion probably -would not be enough to com-, j, pletely offset an anticipated inflation rate of about 8, the normal annual increase FORD HAS ASKED Con- jn population and new ad-gress ad-gress to agree to a $395 bil- ministration spending pro-lion pro-lion spending ceiling for fi- posais for energy and the seal 1977, which means Middle East peace. of what would happen if no spending ceilings are imposed, imposed, lists Social Security and railroad retirement benefits as potentially increasing increasing the most, by $12 billion.","['fiscal', 'govt']",['govt']
But North Carolina economy is moving fast and solidly toward toward 7 growth and 4 inflation.,['no narrative'],['no narrative']
But Russell told the Joint Economic' Committee of Congress he believed that inflation had peaked and would begin declining later this year.,['no narrative'],['no narrative']
"But an energy price rise in the short run would help to stabilize the dollar and to reduce U.S. dependence on imported oil, he said, so that it would have a ""stabilizing"" influence on the inflation rate, On other issues, Blumenthal said: -Unemployment, at 6.1% in Feb- ruary, will ""continue to fall gradually.",['no narrative'],['supply']
But he acknowledged that the Administration-projected rate of 6.5% to 7% inflation this year still made it the na- tion s worst domestic problem.,['no narrative'],['social']
"But high Interest rates and inflation will proDamy iorce the hike, he added.",['rates'],['no narrative']
But increasing the share of the defense budget inevitably means higher inflation.,['fiscal'],['fiscal']
But individually they don't constitute inflation.,['no narrative'],['no narrative']
"But such perceptions do not dawn on those whose polemical purpose is to exploit a scare number in order to scapegoat ""over-regulation"" for inflation, unemployment, and the decline of the dollar, innovation, productivity and the Chrysler Corporation.",['social'],['other-cause']
"But the lower rate could lead to new inflation as the prices of imported food, fuel and raw materials materials rise.. r Britain's new prime minister will face a dismaying dismaying array of problems, of which Jthe economy is but one: a fierce ideological rift in the party he will lead; the ever-present threat of renewed industrial strife; a virtual civil war in Northern Ireland along with a resurgence of nationalism in Scotland and Wales; uncertainty..about Britain's role in the European Community.",['uncertain'],['supply' 'international']
"But with inflation beginning to ebb, there is less fear of another severe recession and gold has become much less attractive.""...",['savings'],['savings' 'uncertain']
"But would r rather see inflation curbed, the dollar defended and the price of oil held down.",['govt'],['no narrative']
"But, after making various adjustments, including a compensation for inflation, the companies project a loss ratio almost 70 per cent for the future.",['cost-push'],['no narrative']
"By October 1979, soaring commodity prices and inflation expectations coupled with a falling dollar dictated still another dramatic announcement-another hike of the rate, higher reserve requirements and a new operating procedure to help the Fed control money growth.","['monetary', 'rates']",['supply' 'expect' 'international' 'rates']
"By going above Mr. Nixon's budget budget requests in several areas, they said, the Democrats had ""created a very harmful situation (in which) the problems of inflation will multiply multiply instead of being brought under under control.""","['fiscal', 'govt']",['fiscal']
CHARTER BANK of JENNINGS 130 Rlnr Rtidi Stoplug Center Call Mr. Gettemeier 389-5500 PROPERTY IS YOUR BEST PROTECTION AGAINST INFLATION!,['savings'],['savings']
"CHICKEN IS still economical in these inflation-wrought days, and because it is versatile it suits many needs.",['cost-push'],['cost']
"COMMENTS: ""Inflation already whipped me and wiped me out""...",['purchase'],['no narrative']
"Car pooling, using public transportation and eliminat- ing unnecessary use of private automobiles is a good way to cut inflation.",['no narrative'],['other-cause']
"Careful economic planning has maintained over-all!stability despite some inflation and budget imbalance, and private capital, both foreign and domestic, is di-awing up important expansion plans.",['no narrative'],['no narrative']
Carter finally became convinced that inflation was the No. 1 problem.,['no narrative'],['govt']
"Carter has proposed an ""austere"" budget to reduce the federal deficit in 1980, saying that will help control inflation.",['fiscal'],['fiscal']
Carter said virtually all the increase is due to inflation.,['no narrative'],['no narrative']
"Chantal Thomass' version of fashion inflation, above left, plots a balloon print dress over pantaloons.",['no narrative'],['no narrative']
"Civil servants in lower classifications have kept abreast of inflation, but executives who run federal federal agencies and judges, whose pay has also been frozen have not.",['govt'],['no narrative']
"Cnunril officials also disclosed disclosed that prim increases are pending on about 1160 different products as proposed proposed by major firms under the Phase IV anti inflation guidelines. 4 The council Tuesday approved approved Increases for soaps, detergents, a wide variety of paper products and auto tires, although the tire increase increase was only about half of what major rubber companies had asked.",['supply'],['govt']
"Con-I; Con-I; tracts covering an additional;-5 million workers come vp, -'offering a big potential for strikes and wage settlements;.that could add pressure to an - (already high rate of inflation.","['wage', 'cost']",['wage']
"Consequently, increases increases in valuation due to inflation do indeed raise the number of actual dollars dollars in property taxes owed.",['cost'],['savings']
"Corruption, incompetence, soaring inflation inflation and political repression are the order of the day.",['no narrative'],['no narrative']
"Cost of Living Rise at 15-Month High BY LOUIS [Chicago Tribune Press Service] WASHINGTON, July 23-Dr. Arthur F. Burns, chairman of the Federal Reserve Board, to- day endorsed President Nixon's decision to step up the fight against inflation, rather than stimulate the national economy to cut unemployment.",['fiscal'],['no narrative']
"Craig said in a telephone:ir/.] terview.',.:i.;i,,""] State highway:diter/ Douglas B. Fugate.,: three weeks ago that inflation, lower than expected tax collections and the fast pace of road construction in recent months have depleted road building funds to the poin t that a moratorium on new contracts is necessary.",['govt'],['govt']
Current economic theory views the balance between inflation and unemployment unemployment as a trade-off.,['no narrative'],['no narrative']
"Curtailment of money and credit, which raises interest rates, can hold down spending spending and investment, thus slowing economic economic growth and inflation.","['monetary', 'rates']",['monetary']
DRUM CORPS NOTES Inflation woes hit contest sponsor groups By Herb Cole Contest sponsors will have to bear an even greater brunt of inflation.,['cost-push'],['no narrative']
"Declaring that controlling inflation remains the nation s' mose serious economic problem,""the New York banker said the fiscal and monetary efforts that have been taken to restrain living cost increases are 'beginning to bite but haven't been fully successful yet.""",['fiscal'],['monetary' 'fiscal']
"Despite Veblen's irony, we must agree with the authors that monetary and fiscal policy should not be based upon an attempt to fool the people, and that if they expect.inflation they wlll discount that factor in present wage-price policies and demands, thereby inducing a continuous wage-price spiral.",['wage'],['wage' 'monetary' 'fiscal']
"Despite any pay, hikes, your real earnings your pay after deductions for Social Security Security taxes and federal income taxes and adjusted adjusted for inflation is down 5 percent from a year ago.",['purchase'],['no narrative']
"Despite the legal risks, a steady stream of Americans - looking to escape the pinching recession and inflation of the United States - continues to flow into Baja California.",['purchase'],['other-effect']
"Detroit, who spoke on ""Personal Experience With Inflation in France and. Germany, and Present Tendencies in the United States,"" a timely topic even. today But as the labor movement grew in power, labor leaders were.invited to, join and address the organization.",['no narrative'],['no narrative']
"Dixon said that recent price inflation was simply a ""cost push"" phenomenon resulting' from management giving to labor all it asked and then ""charging double"" in its product pricing.","['wage', 'cost-push']",['wage' 'cost-push']
"Do you agree with your chief eco- nomic adviser, who, according to the New York Times on Monday, said that your economic policies will increase inflation?",['fiscal'],['fiscal']
"Do you think the White House has been ""telling us the truth about the war, about inflation, and about the need foraddrtional taxes?","['fiscal', 'govt']",['no narrative']
"ECONOMISTS USUALLY a re- cession as two consecutive quarters of decline in the gross national product [GNP], adjusted for inflation.",['no narrative'],['no narrative']
"Earlier the market declined unevenly, still shackled by concern over inflation and rising interest rates.",['uncertain'],['rates' 'uncertain']
"Earlier, Blough told about1200 shareowners, it is vital tocheck inflation ""if the American steel industry is to remain competitive in world markets.""","['supply', 'trade']",['trade' 'cost-push']
"Eastsiders preferred. 882-1120 longer styles to The Lions Den, 1 305 Ludlngton, KIB INDEPENDENT MANAGERS Need 25 survey teams for inflation survey for Metro area and Macomb nea'aon?: 2,X,rl MEN'S FASHION COOROINAT ES Send complete resume Den, 1: Escanaba, Mich. 49829.",['no narrative'],['no narrative']
Easy - money advocates seemed to regar the inflation issue as a distraction. upport for piddling budget cuts flow d as smoothly as professions of virtue.,['no narrative'],['no narrative']
"Economists on the left and right agree that an increase in defense spending of the magnitude desired by major candidates will produce inflation, stymie efforts at economic recovery, and pre-empt funds for social pro- grams.","['fiscal', 'govt']",['fiscal']
"Energy, controlling inflation, and government reorganization have all been given greater urgency than a national urban policy, national health insurance and other basic human needs programs.",['no narrative'],['no narrative']
Excellent opportunity to protect yourself against inflation.,['savings'],['no narrative']
Flnan's argument is that state spending only feeds inflation and makes it worse.,['fiscal'],['fiscal']
"For DavisBacon, while little--known, is an engine of inflation that generates pressures on the most critical Kraft sector of the economic front -the construction industry.",['supply'],['cost-push']
"For example, a 19 per cent rate of inflation would double the cost of living in four years.",['cost'],['cost']
"For example, a married couple paying income taxes at rates up to 40 percent would have to earn almost 18 percent gross on their capital to stay even with inflation.",['savings'],['no narrative']
"Frightened by of relentless inflation and the Federal Reserve's credit-tightening move last Friday, the bond market plunged.","['monetary', 'rates']",['savings']
Fukuda Asks Moves to Save Dollar's Value By Hobart Rowen Washington Post Staff Writer Japanese Prime Minister Takeo Fukuda began a two-day summit session here yesterday morning by telling six Carter administration cabinet officers that they must succeed in controlling inflation and reducing energy consumption to protect the value of the dollar.,"['fiscal', 'govt']",['trade']
"Future of Long-Term Rates John D. Paulus, vice president and economist at Goldman, Sachs & Company, predicted that long-term rates would not fall more than about 1 1/2 percentage points because inflation should rise temporarily early in 1981 and because the Federal Reserve wants to keep interest rates high enough""to avoid a significant upsurge in economic activity in 1981.""",['rates'],['rates' 'savings']
Galloping inflation has taken care of that.,['no narrative'],['no narrative']
"Gary Hart (D-Colo.) said adjusting individual in- come taxes for inflation ""would end the federal govern- ment s tax windfall.""","['fiscal', 'govt']",['govt']
"General Flsenhrtu or hus accepted the honorary of an anti-Infiatlonary group know an the Council for N:conomic Growth and Security, Inc. Dr,lames Tobin of the Freside nt s Conncll of Advisers says he s having thoughts on the desirability of creeping inflation.",['no narrative'],['no narrative']
"German Wages Leveling But Contract Demands Are Due in Second Half Gains in First Six Months Were Down From the Previous Year, And Are Termed 'Moderate' By a WALL STREET JOURNAL Staff Reporter COLOGNE, West Germany--Wage costs in West Germany are leveling, strengthening hopes of some industrialists that the country s period of wage inflation may have ended, but businessmen cross fingers since a wave of wage demands must be faced in the second half.",['wage'],['wage']
Goldman Sachs & Co. predicts a relatively modest 6-percent 6-percent rise in the consumer price index while Morgan Guaranty Trust says real income after discounting inflation also will rise 6 percent.,['no narrative'],['no narrative']
Government economists said higher costs for buildings and houses forced them to increase the inflation figures for the second quarter.,['supply'],['supply']
"Government, inflation ers had been watching the I Teamster talks closely.",['no narrative'],['no narrative']
"Government, labor and management, is designed to bring Britain's crippling inflation rate of 25 per cent down to a more manageable and competitive 10 per cent.",['fiscal'],['fiscal']
Grade inflation has at least partially blinded many to the reality of the achievement decline.,['no narrative'],['no narrative']
"Granted, as you say, that state aid to cities and towns in Connecticut has increased at a much slower rate than inflation, do you suggest that it should be at the same rate or more?",['no narrative'],['no narrative']
"Gullander, president of the NAM, testified that in fighting inflation ""the principal principal effort must be on the side of reducing government spending.""",['fiscal'],['fiscal']
"HARDWKK.-HARDWKK ENERGY SAVING GAS RANGE JLfr'--',""'"".j INFLATION STOPS NOW.",['no narrative'],['no narrative']
"HE SAID THE administration's economists view the problems of inflation inflation and recession ""through the eyes FEARED NAZI CONSCRIPTION Russ Army Deserter Surrenders After Living 30 Years In Pigpen Moscow (UPI) A Soviet army deserter deserter has surrendered to authorities after spending the last 30 years hiding in a darkened corner of a Ukrainian pigpen, the newspaper Komsomolskaya I'ravda reported yesterday.",['no narrative'],['no narrative']
"He added that the basic cause of the economy s vulnerability to inflation was the continuing budget deficit, which this year will remain at the $60 billion level of 197?.",['fiscal'],['fiscal']
He also criticized the governor for relying too heavily on the growth of state tax revenues caused by inflation to finance his proposals.,"['fiscal', 'govt']",['govt']
"He argued in something of a circle. however, in demanding lower interest rates and simultaneously a fight against the cruelties of inflation.",['fiscal'],['rates']
"He blames the slide of the dollar in recent months more on ""a lack of confidence in the United States, especially concerning the energy policy, trade deficit and inflation.","['demand', 'uncertain']",['trade']
He certainly played a leading leading part in causing the administration to concentrate too long and too hard on inflation inflation while the avalanche of recession was making up.,['fiscal'],['govt']
He expects double-digit inflation to return within a year.,['expect'],['no narrative']
